Variable Name,Projects Count
x,787
parser,685
model,681
args,657
loss,653
data,577
y,565
output,521
out,507
optimizer,501
batch_size,468
mask,447
s,419
n,415
f,413
i,408
idx,403
img,397
labels,393
dataset,389
outputs,388
name,384
result,376
res,373
device,369
m,368
w,365
p,358
h,357
r,355
t,354
label,350
d,350
a,342
k,338
path,338
v,337
c,337
b,333
pred,324
results,323
index,320
indices,315
layers,313
config,305
target,305
start,304
end,302
filename,300
inputs,298
alpha,295
params,293
z,283
x1,280
image,279
weights,275
size,272
features,272
lr,272
count,271
checkpoint,267
scores,267
logger,263
lines,261
mean,260
__all__,257
scale,255
weight,254
logits,254
score,252
shape,250
batch,249
images,249
x2,248
g,247
std,238
width,234
losses,233
train_loader,233
input,230
ret,229
N,228
state,227
value,227
line,223
l,221
diff,213
X,211
state_dict,208
key,208
residual,207
correct,207
j,207
fig,206
padding,205
values,205
tmp,202
scheduler,202
offset,200
start_time,200
ax,199
acc,198
net,197
norm,197
files,197
q,192
num,191
u,191
criterion,191
eps,190
height,189
expansion,185
y1,183
val,182
writer,182
delta,179
preds,178
A,177
step,175
dist,174
save_path,173
targets,173
im,173
opt,170
total,168
beta,167
dim,166
pos,165
C,164
msg,164
num_classes,164
sample,164
gamma,163
prefix,163
temp,163
downsample,162
R,162
length,162
df,162
text,160
stride,160
layer,159
names,158
epoch,156
K,156
train_dataset,156
kwargs,155
bias,152
__version__,151
test_loader,151
predictions,151
keys,150
M,149
sigma,149
imgs,148
e,148
probs,145
B,145
y2,144
root,143
samples,143
grad,143
prob,140
file_name,140
tensor,139
seed,139
ratio,138
cfg,137
color,137
tokens,137
url,136
kernel,136
total_loss,135
theta,134
ind,133
transform,131
noise,131
info,129
ids,129
classes,128
metrics,128
xs,128
file_path,128
counter,128
points,127
D,127
trainer,127
mode,126
_,126
pad,126
in_channels,125
model_name,125
factor,125
T,125
data_loader,124
block,124
colors,124
order,123
mu,122
x0,122
train_data,121
W,121
center,120
f1,120
H,120
classname,119
gt,119
fname,119
L,118
pool,117
feat,117
img_path,116
var,116
input_shape,116
precision,116
feature,116
fn,116
version,115
title,115
grid,115
model_path,114
row,114
t1,114
words,114
dx,113
masks,113
file,113
split,113
sampler,112
obj,112
ys,111
conv,111
header,111
G,111
loader,111
item,110
P,110
left,110
datasets,110
accuracy,110
valid,109
input_size,109
recall,109
splits,108
area,107
cmd,107
learning_rate,107
rank,106
val_loader,106
dtype,106
kernel_size,105
inp,105
Y,105
base,105
fp,104
bbox,104
inds,104
param,103
content,103
data_dir,102
test,102
options,102
output_dir,102
cls,102
meta,101
grads,101
depth,101
extensions,100
test_dataset,100
start_epoch,100
stats,99
tp,99
summary,99
y_pred,99
module,98
dy,98
id,98
cnt,97
radius,97
groups,96
right,96
epsilon,96
env,95
correct_k,95
embeddings,95
strides,94
epochs,94
ones,94
S,94
paths,94
reader,94
query,94
union,93
project,93
angle,93
save_dir,93
x3,93
dataloader,93
modules,92
dataset_name,92
message,92
global_step,92
bs,92
train_loss,92
identity,91
t2,91
log,91
maxk,91
idxs,91
prediction,91
formatter,91
cols,90
num_samples,90
test_data,89
o,89
tokenizer,89
parameters,89
train,89
src,89
iou,89
train_sampler,89
rows,88
parts,88
keep,88
now,88
pairs,87
defaults,87
channels,86
context,86
boxes,86
outs,86
filepath,86
token,86
max_len,85
seq,85
denom,85
word,85
data_path,84
array,84
blocks,84
vocab,84
normalize,84
author,83
ch,83
zeros,83
xx,83
frame,83
source,83
offsets,82
c2,82
flag,82
saver,82
graph,82
ds,82
html_theme,81
means,81
suffix,81
c1,81
threshold,81
model_urls,81
intersection,81
lengths,81
match,81
pattern,81
r1,80
Z,80
metadata,80
model_dict,80
steps,80
out_channels,79
copyright,79
edges,79
step_size,79
output_shape,78
templates_path,78
sess,78
vals,78
counts,78
batch_time,78
models,78
exclude_patterns,77
img_name,77
r2,77
output_path,77
items,77
encoder,77
html_static_path,76
trans,76
s1,76
feats,75
ap,75
p2,75
distance,75
p1,75
data_time,75
box,75
cs,74
top,74
overlap,74
errors,74
string,74
response,74
dt,73
release,73
y_true,73
log_probs,73
filenames,73
image_path,73
weight_decay,73
shift,72
cmap,72
dists,72
matrix,72
sequence,72
I,72
master_doc,71
shortcut,71
group,71
func,70
tree,70
world_size,70
pts,70
y0,70
t0,70
done,70
phi,70
momentum,70
attention,69
states,69
b2,69
buffer,69
fmt,69
embedding,69
num_workers,68
distances,68
start_idx,68
train_set,68
nodes,68
tag,68
matches,68
yy,67
source_suffix,67
axis,67
lr_scheduler,67
progress,67
input_ids,67
examples,67
task,67
language,67
test_loss,67
dims,67
act,67
sizes,67
ckpt,67
num_channels,66
prec,66
inter,66
metric,66
num_images,66
method,66
fh,66
s2,66
col,66
init,66
error,66
checkpoint_path,66
node,66
bboxes,65
pt,65
ps,65
output_size,65
scales,65
label_list,65
head,65
action,65
b1,65
op,65
history,65
example,65
eta,65
xmin,65
fields,65
st,65
decoder,65
vec,64
perm,64
rng,64
shapes,64
end_time,64
buf,64
Q,64
V,64
table,63
num_layers,63
bar,63
current,63
gradients,63
mat,63
ymin,63
hidden,63
xmax,63
ymax,63
val_dataset,62
stdv,62
cat,62
anchors,62
ts,62
rho,62
out1,62
emb,62
arr,62
cx,61
cost,61
batches,61
thresh,61
loc,61
annotations,60
cy,60
all_labels,60
feed_dict,60
norm_layer,60
position,60
generator,60
attn,60
log_dir,60
mapping,60
img_size,59
new_key,59
ws,59
extra,59
dilation,59
v1,59
model_dir,59
best,59
a1,59
train_dataloader,59
ops,59
ref,59
x_max,59
folder,58
hs,58
l2,58
y_train,58
val_loss,58
out2,58
conv1,58
d2,58
ext,58
class_name,58
x4,58
err,58
choice,58
config_file,57
ious,57
input_dim,57
out_dir,57
activation,57
v2,57
pbar,57
test_set,57
FLAGS,57
window,57
new_shape,57
positions,57
seg,56
bottom,56
is_best,56
candidates,56
use_cuda,56
a2,56
evaluator,56
output_file,56
reg,56
k1,56
frames,56
U,56
found,56
new_size,55
f2,55
coords,55
d1,55
top1,55
image_size,55
ss,55
centers,55
sz,55
sentences,55
label_map,55
fps,55
F,55
sp,54
input_data,54
image_name,54
l1,54
img2,54
entry,54
m2,54
classifier,54
last,54
best_acc,54
headers,54
log_file,53
end_idx,53
img_id,53
areas,53
mse,53
loss_fn,53
num_batches,53
sentence,53
iterator,53
network,53
spec,53
instance,53
data_list,53
initializer,53
bn,53
h2,53
rgb,53
attention_mask,53
gts,52
layer_name,52
img1,52
best_score,52
prev,52
txt,52
dst,52
command,52
denominator,52
seq_len,52
num_gpus,52
one_hot,52
extension,52
m1,52
elapsed,52
checkpoints,52
directory,51
scale_factor,51
output_dim,51
update,51
objs,51
objects,51
y_test,51
pygments_style,51
logit,51
conv2,51
long_description,51
total_length,51
mod,51
image_id,51
cell,51
n_classes,51
total_time,51
entropy,51
num_params,51
flags,50
devices,50
indexes,50
x_,50
up,50
rate,50
doc,50
cp,50
__author__,50
BATCH_SIZE,50
x_min,50
rec,50
first,50
time,50
iters,49
rois,49
n_samples,49
gs,49
num_labels,49
sent,49
new_state_dict,49
transforms,49
max_length,49
cond,49
trainset,49
num_points,48
channel,48
actions,48
mu2,48
high,48
no_decay,48
dropout,48
num_features,48
bias_correction2,48
hist,48
E,48
crop,48
bins,47
out_size,47
img_list,47
fc,47
new_h,47
grad_input,47
timestamp,47
label_ids,47
embed,47
tau,47
input_mask,47
entries,47
idx2,47
sc,47
pair,47
bias_correction1,47
h1,47
seq_length,47
cache_path,47
w2,47
dir,47
sources,47
shuffle,47
iteration,47
ex,47
num_blocks,46
root_dir,46
max_score,46
ann,46
stds,46
energy,46
max_y,46
max_x,46
data_dict,46
reward,46
numerator,46
train_transform,46
new_state,46
logs,46
conf,46
config_path,46
heatmap,45
overlaps,45
num_pos,45
module_name,45
xyz,45
layer_output,45
out_path,45
expected,45
ks,45
c3,45
margin,45
stack,45
chars,45
categories,45
w1,45
record,45
iterations,45
ignore,44
area1,44
num_replicas,44
orig,44
img_shape,44
sum,44
area2,44
axes,44
file_list,44
duration,44
mu1,44
token_type_ids,44
columns,44
htmlhelp_basename,44
loss1,44
parsed,44
level,44
avg,44
times,44
hidden_dim,44
attr,44
attrs,44
cache_dir,44
exp,44
