Function Name,Projects Count
__init__,529
forward,393
main,310
__len__,306
__getitem__,305
train,254
__call__,235
update,178
reset,163
__repr__,156
evaluate,122
__iter__,116
__str__,115
test,113
BasicBlock,112
_make_layer,108
step,104
ResNet,101
run,101
Bottleneck,100
accuracy,99
AverageMeter,92
backward,92
conv3x3,91
save_checkpoint,91
load,89
save,86
init_weights,83
reset_parameters,77
parse_args,73
sample,71
get,68
validate,64
predict,63
get_lr,62
decode,60
__getattr__,60
encode,59
load_data,57
__exit__,56
__enter__,56
normalize,54
fit,51
build,51
get_model,49
setup,48
close,47
load_model,46
extra_repr,45
Logger,44
adjust_learning_rate,44
build_model,44
add,44
Identity,44
log,43
transform,43
loss,43
eval,42
load_state_dict,41
__setstate__,41
get_dataset,41
MLP,40
write,39
save_model,39
plot,39
convert,39
parse,38
Dataset,37
conv1x1,37
init,37
Normalize,36
load_checkpoint,36
initialize,36
wrapper,36
name,36
resnet18,36
RandomCrop,35
Compose,35
to,35
info,35
resnet50,35
Model,34
preprocess,34
ToTensor,34
inference,34
state_dict,33
Trainer,33
resize,33
Timer,33
resnet34,33
download,32
str2bool,31
next,31
__setitem__,31
get_params,31
__del__,30
train_step,30
set_random_seed,30
generate,30
load_dataset,30
__eq__,30
clear,30
crop,30
resnet101,30
__getstate__,30
score,29
get_loss,29
Resize,29
call,29
size,29
__setattr__,29
Generator,29
Discriminator,29
process,29
set_seed,28
compute_loss,28
flatten,28
resnet152,28
create_model,27
make_dataset,27
Flatten,27
Config,27
get_config,27
__next__,27
VGG,27
build_backbone,27
setUp,27
Encoder,27
get_data,26
_initialize_weights,26
tokenize,26
get_version,26
set_epoch,26
Linear,26
ResBlock,25
build_dataloader,24
area,24
register,24
__new__,24
f,24
train_epoch,24
pad,24
FocalLoss,24
nms,24
ResNet50,23
stop,23
start,23
func,23
_make_stage,23
build_dataset,23
Conv2d,23
Block,22
mkdir,22
append,22
ResNet18,22
_load_from_state_dict,22
compute,22
merge,22
get_optimizer,22
get_logger,22
prepare_data,21
norm,21
build_optimizer,21
extract,21
apply,21
__contains__,21
__add__,21
DistributedSampler,21
display,21
weights_init,21
