Variable Name,Projects Count
x,503
parser,453
model,452
loss,433
args,427
out,378
y,357
data,354
output,340
optimizer,333
batch_size,315
mask,301
device,293
img,272
res,267
dataset,258
labels,258
n,251
p,251
k,249
outputs,247
i,244
v,235
result,235
idx,235
t,232
label,229
w,227
h,227
path,226
d,224
layers,220
pred,220
target,219
f,217
s,216
name,215
logger,214
c,211
m,209
b,203
r,200
config,199
index,199
checkpoint,196
end,195
a,194
image,191
alpha,190
filename,185
results,184
z,184
start,181
indices,178
x1,178
mean,177
lr,175
features,174
scale,173
size,170
__all__,170
params,166
state_dict,165
x2,165
inputs,164
q,160
logits,159
width,159
shape,158
images,157
std,156
weights,155
count,153
N,152
scores,152
score,149
g,148
batch,145
input,143
tmp,143
train_loader,143
value,141
losses,141
start_time,139
criterion,139
weight,139
diff,135
lines,134
stride,132
padding,131
targets,131
state,131
j,130
norm,130
scheduler,130
key,128
expansion,128
l,126
ret,125
u,125
acc,124
B,123
preds,123
fig,122
files,122
cfg,121
line,121
A,117
net,117
offset,115
correct,115
ax,115
values,114
msg,113
num_classes,113
delta,113
trainer,111
df,111
X,111
save_path,110
sample,110
pos,108
train_dataset,108
downsample,108
num,107
val,106
height,106
residual,106
dim,106
seed,105
transform,105
eps,105
test_loader,105
y1,105
opt,104
sigma,104
temp,103
root,102
ids,102
imgs,102
names,101
dist,101
color,99
im,99
bias,99
metrics,98
writer,97
K,97
kwargs,96
keys,96
step,95
predictions,95
M,94
R,94
layer,91
samples,89
total,89
prob,89
classes,89
dataloader,88
rank,88
img_path,88
ratio,87
total_loss,87
gt,87
data_loader,86
output_dir,86
model_name,86
T,85
in_channels,85
block,84
x0,84
tensor,84
beta,83
xs,83
C,83
bs,82
input_shape,82
file_path,82
sampler,81
gamma,81
ind,81
factor,81
identity,81
length,80
item,80
mu,80
loader,80
file_name,80
noise,80
dx,80
prefix,79
grad,79
epoch,79
mode,79
row,78
feature,78
grid,78
D,77
val_loader,77
norm_layer,77
x3,76
conv,76
info,76
datasets,75
center,75
order,75
colors,75
y2,75
W,74
stats,74
pad,74
_,74
bbox,74
feat,73
H,73
kernel_size,73
threshold,73
save_dir,72
probs,72
cnt,72
module,72
dtype,71
var,71
kernel,71
points,71
precision,70
model_path,70
recall,70
text,70
__version__,69
fn,69
fp,69
area,69
test_dataset,69
formatter,69
attn,68
fname,68
theta,68
left,67
world_size,67
obj,67
iou,67
start_epoch,67
log_file,66
tokens,66
inds,66
train_loss,66
t1,65
masks,65
prediction,65
channels,65
fmt,64
header,64
classname,64
cmd,64
valid,64
P,64
lr_scheduler,64
content,64
coords,64
L,63
blocks,63
modules,63
S,62
data_dir,62
message,62
dataset_name,62
normalize,62
src,62
version,62
data_path,62
e,62
total_time,61
counter,61
cols,61
rows,61
union,61
tp,61
angle,61
query,60
outs,60
cls,60
train_data,60
parameters,60
maxk,60
ckpt,59
log,59
Y,59
out_channels,59
pool,59
url,59
dy,59
depth,58
filepath,58
data_time,58
distance,58
test,58
G,58
ys,57
ch,57
idxs,57
arr,57
correct_k,57
start_idx,56
metadata,56
counts,56
meta,56
splits,56
model_urls,56
flag,55
inp,54
num_samples,54
train_sampler,54
boxes,54
ap,53
strides,53
buffer,53
input_size,53
loc,53
out_features,53
metric,53
frame,53
id,53
feats,53
split,53
table,53
I,53
ds,52
env,52
f1,52
keep,52
right,52
groups,52
top,52
accuracy,52
val_dataset,51
radius,51
data_list,51
t2,51
seq,51
train,51
trans,51
shortcut,51
project,50
defaults,50
models,50
box,50
group,49
tokenizer,49
num_workers,49
intersection,49
out_dir,49
progress,49
shift,49
dt,49
inter,49
epsilon,49
title,49
model_dict,49
y_pred,48
steps,48
file,48
log_dir,48
pbar,48
param,48
zeros,48
weight_decay,48
fh,48
cmap,48
c1,48
max_size,47
x4,47
words,47
paths,47
test_data,47
perm,47
img_name,47
options,46
fps,46
img_size,46
num_gpus,46
o,46
context,46
pt,46
learning_rate,46
p1,46
new_state_dict,45
patch_size,45
items,45
parts,45
t0,45
extensions,45
error,45
done,45
dst,45
current,45
batch_time,45
phi,45
source,44
encoder,44
func,44
col,44
matrix,44
timestamp,43
epochs,43
reader,43
p2,43
rng,43
rec,43
sizes,43
transforms,43
cs,43
output_shape,43
c2,43
num_params,42
seg,42
skip,42
checkpoint_path,42
position,42
ref,42
now,42
num_features,42
loss_dict,42
xx,42
scales,41
V,41
mat,41
node,41
num_layers,41
suffix,41
b2,41
b1,41
method,41
response,41
states,41
pts,41
y0,41
bottom,41
Q,40
end_idx,40
offsets,40
base,40
match,40
num_channels,40
denom,40
dilation,40
vals,40
html_theme,40
output_path,40
evaluator,40
grads,40
token,40
gts,40
hidden_features,39
backbone,39
top1,39
l2,39
st,39
sequence,39
train_set,39
annotations,39
prec,39
end_time,39
xmin,39
extension,39
anchors,39
test_loss,39
scaler,39
sz,38
y_true,38
release,38
exclude_patterns,38
spec,38
test_set,38
xmax,38
bn,38
graph,38
layer_name,38
vec,38
x_max,37
data_root,37
ious,37
choice,37
copyright,37
frames,37
author,37
l1,37
templates_path,37
distances,37
out2,37
hidden_dim,37
out1,37
image_id,37
img2,37
crop,37
n_samples,37
it,37
areas,37
ops,37
grad_input,37
a1,37
ts,37
pretrained_dict,37
a2,37
head_dim,36
scale_factor,36
img1,36
head,36
edges,36
ones,36
overlap,36
ss,36
dims,36
activation,36
input_ids,36
out_path,36
output_size,36
time,36
ymin,36
mapping,36
ymax,36
train_dataloader,36
tree,36
image_path,36
axis,36
rgb,36
all_labels,36
new_size,36
best_acc,36
mlp_hidden_dim,35
init,35
html_static_path,35
max_len,35
dists,35
history,35
fields,35
attention_mask,35
folder,35
val_loss,35
filenames,35
class_name,35
up,35
xy,35
previous_dilation,35
n_classes,35
file_handler,35
yy,35
replace_stride_with_dilation,35
d2,35
stdv,35
cx,35
eta,34
entries,34
embedding,34
data_dict,34
word,34
denominator,34
step_size,34
task,34
emb,34
sim,34
objects,34
summary,34
class_names,34
hist,34
cat,34
module_name,34
classifier,34
candidates,34
F,33
iters,33
attn_mask,33
code,33
first,33
example,33
thresh,33
err,33
embeddings,33
means,33
memory,33
stream,33
tau,33
pairs,33
ws,33
global_step,33
basename,33
img_id,33
cy,33
exp,32
tensor_list,32
crop_size,32
high,32
storage,32
sources,32
loss_fn,32
pattern,32
lengths,32
dir,32
max_length,32
tag,32
num_blocks,32
model_dir,32
categories,32
keypoints,32
rate,32
one_hot,32
reg,32
thresholds,31
x_,31
conf,31
Z,31
dpr,31
topk,31
decoder,31
r1,31
h2,31
success,31
log_probs,31
cost,31
arch,31
directory,31
best_score,31
v2,31
gradients,31
r2,31
array,31
image_size,31
template,31
attr,31
dw,31
flip,31
num_images,31
num_boxes,31
qkv,31
new_key,31
is_best,31
label_list,31
pose,31
xyz,31
bins,30
level,30
total_time_str,30
num_replicas,30
new_shape,30
command,30
angles,30
buf,30
op,30
h1,30
extra,30
window,30
best,30
area2,30
iteration,30
area1,30
mrec,30
status,30
action,30
bboxes,30
rot,30
widths,30
batch_idx,30
aspect_ratio,30
acc1,30
d1,30
train_transform,30
pi,29
valid_mask,29
low,29
flops,29
out_file,29
v1,29
ps,29
lrs,29
top5,29
ratios,29
mod,29
ext,29
freq,29
logs,29
kw,29
attention,29
objs,29
master_doc,29
num_groups,29
tasks,29
bb,29
headers,29
no_decay,29
image_name,29
num_points,29
proposals,29
pred_boxes,29
entry,29
last,29
x_min,28
file_list,28
sp,28
loss_value,28
config_file,28
sig,28
source_suffix,28
k1,28
examples,28
new_state,28
times,28
indexes,28
duration,28
label_path,28
root_path,28
mse,28
intersect,28
image_ids,28
conv1,28
down,28
sc,28
gs,28
img_list,28
matches,28
shapes,28
hs,28
sd,28
test_acc,28
obs,27
force,27
elapsed,27
pos_embed,27
save_filename,27
log_level,27
nodes,27
vs,27
loss2,27
shuffle,27
found,27
string,27
use_cuda,27
model_config,27
grad_norm,27
output_dict,27
levels,27
corr,27
act,27
filters,27
num_frames,27
generator,27
new_h,27
columns,27
stage,27
mpre,27
current_time,27
pr,27
stop,27
overlaps,27
edge,27
avg,27
rotation,27
heights,27
anno,27
y_test,27
x_test,27
grid_size,27
num_steps,27
IMG_EXTENSIONS,27
bound,27
logit,27
rho,27
cc,26
loss_str,26
distributed,26
pe,26
config_path,26
prior,26
dropout,26
direction,26
DATASETS,26
default,26
hidden,26
max_idx,26
flags,26
opts,26
checkpoints,26
