Variable Name,Projects Count
x,481
parser,467
model,454
args,450
loss,440
data,396
out,391
output,377
device,350
optimizer,346
y,339
mask,329
dataset,306
batch_size,304
result,284
labels,281
img,278
outputs,277
i,276
n,273
idx,272
v,266
res,263
t,257
s,254
k,253
pred,249
target,241
w,239
p,238
name,237
a,237
label,234
logger,230
path,230
q,225
index,224
results,223
h,223
indices,222
d,220
image,218
config,218
b,212
r,210
x1,209
filename,208
start,208
m,207
state_dict,207
f,206
scale,204
end,202
logits,199
inputs,198
layers,197
c,191
x2,188
mean,188
checkpoint,186
scores,185
batch,184
z,179
params,178
std,177
start_time,177
features,176
__all__,176
images,175
N,174
shape,170
lines,170
scheduler,169
alpha,168
weight,167
size,166
weights,165
lr,164
train_loader,163
count,161
seed,160
value,159
ret,157
tmp,157
l,155
key,155
input,154
acc,153
B,152
line,152
losses,151
u,151
score,150
width,147
save_path,147
j,146
cfg,146
text,143
values,142
train_dataset,141
eps,140
padding,139
state,139
targets,138
val,138
norm,138
sample,136
correct,132
g,130
attn,130
model_name,129
preds,129
df,129
root,127
y1,125
trainer,125
metrics,123
residual,122
temp,122
dist,122
keys,121
pos,120
noise,120
dim,119
offset,119
diff,119
total,119
X,118
tokenizer,118
num_classes,116
stride,116
net,116
tensor,115
criterion,115
T,114
dtype,113
grid,113
files,112
transform,110
bias,110
M,110
delta,110
bs,109
prefix,108
file_name,108
expansion,108
output_dir,107
step,107
names,107
num,107
qkv,107
length,107
writer,106
height,105
msg,105
item,105
url,105
predictions,104
query,104
block,103
gamma,103
info,103
tokens,103
rank,102
color,102
sigma,101
K,101
_,100
probs,100
model_path,100
fig,99
sampler,99
samples,99
A,98
ax,97
split,97
data_path,97
C,96
x0,96
data_loader,95
dataloader,95
context,95
test_loader,95
header,94
opt,94
in_channels,93
y2,93
layer,93
ind,93
kwargs,93
file,93
content,93
file_path,92
gt,92
mode,91
precision,91
ratio,91
head_dim,91
imgs,90
feat,90
total_loss,90
recall,89
src,89
prompt,89
x3,89
classes,88
im,88
coords,88
loader,88
img_path,88
ids,87
points,87
module,86
kernel,86
colors,86
norm_layer,86
cnt,86
input_ids,86
response,85
downsample,85
img_size,85
factor,84
identity,83
R,83
prob,82
conv,82
theta,82
test_dataset,82
row,82
W,82
out_features,82
attention_mask,82
match,81
iou,81
pad,81
distance,81
left,80
S,80
world_size,80
epoch,80
H,80
train_data,80
lr_scheduler,80
masks,79
threshold,79
angle,79
buffer,78
prediction,78
center,78
f1,78
__version__,78
log,78
dx,77
patch_size,77
dpr,77
emb,76
datasets,75
save_dir,75
beta,75
splits,75
formatter,75
valid,75
D,75
feature,74
grad,74
kernel_size,74
table,74
depth,74
message,74
ckpt,74
t1,74
var,74
union,73
mlp_hidden_dim,73
idxs,73
val_loader,73
image_size,73
counts,73
hidden_states,73
outs,72
data_dir,72
image_path,72
total_time,71
dataset_name,71
channels,71
rows,71
num_patches,71
input_shape,71
flag,71
L,71
parts,70
xs,69
out_channels,69
arr,69
obj,69
P,69
id,69
token,68
mu,68
num_samples,68
pbar,68
scaler,68
stats,67
modules,67
pattern,67
hidden_features,67
feats,67
val_dataset,67
dy,66
area,66
paths,66
accuracy,66
e,66
metric,65
shortcut,65
fp,64
intersection,64
denom,64
Y,64
tp,63
transforms,63
data_dict,63
counter,63
model_dict,63
boxes,62
inds,62
data_time,62
bbox,62
o,62
meta,62
t2,62
V,62
