quarter,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
2020Q1,5.700023798191338,36.841147072822466,29.349119466920513,53.919879422497225,42.541170871013804,83.26899888941774,257.59466573816053,562.2540690331106,4.075037525358586,7956.118690852949,442.0065939362749,0.18741802301103686,20.42927970807552,94.61534190068221,94.61534190068221,36.400323365909,66.58908268517403,66.58908268517403
2020Q2,5.5907719429094485,39.473743092517886,31.305420890260027,56.098552395158826,45.064515035427334,87.40397328541886,291.80508185387544,625.388920036218,3.9607098160048926,5654.1199359662805,314.11777422034885,0.20846297334540598,21.523544767264468,96.76828152015459,96.76828152015459,34.6459032424411,67.15630278896174,67.15630278896174
2020Q3,5.576182637944608,214.04472912044656,201.31199456093896,390.2508409074644,219.62091175839117,591.5628354684034,3325.5652213001786,9368.492244324272,4.0270389491432566,56702.1467429898,3150.1192634994336,3.1228307481080906,23.664245330279826,107.8188291705432,107.8188291705432,34.05444494049159,66.4774372783232,66.4774372783232
2020Q4,4.8930443810018165,31.297352712172334,25.410173890474955,47.427692706981574,36.19039709317415,72.83786659745653,218.14615123244354,493.94019633920664,3.461650689359467,4752.079135953633,264.00439644186855,0.16464673211306888,20.24381001816766,95.52831559823514,95.52831559823514,40.646551841971196,71.41205874495591,71.41205874495591
2021Q1,5.12088317083794,38.00489161389754,30.38523134653399,57.157034207793075,43.12577478473548,87.54226555432707,299.7231427076207,687.0196122971967,3.6546092342238365,6034.052421313663,335.2251345174257,0.2290065374323989,19.325426341005794,88.1529466948102,88.1529466948102,30.39393099785289,69.7738498610672,69.7738498610672
2021Q2,5.537683881064162,41.37261345852895,33.7048200312989,63.35727699530516,46.910297339593114,97.06209702660406,347.45173554210015,832.5675869967633,3.920561883305185,9569.232635523189,531.6240353068439,0.2775225289989211,21.065007824726134,101.44169014084507,101.44169014084507,32.768564841415916,67.89780457307089,67.89780457307089
2021Q3,5.5201077736752815,36.405714665868345,28.951102684362837,54.10398163855903,41.92582243954362,83.05508432292186,256.4120027339435,568.6019067187274,3.9383246821910145,5830.799080668723,323.9332822593735,0.1895339689062425,20.685560323321027,92.21099025380035,92.21099025380035,28.83257024753682,68.12596983711728,68.12596983711728
2021Q4,5.295738970477368,33.40246072193239,26.38557341455324,48.86607762130213,38.69819969240976,75.25165103585537,231.23118435580218,502.56273879555346,3.779849908977765,4932.517006084945,274.02872256027473,0.16752091293185115,19.529386930430324,89.18723802056633,89.18723802056633,28.766343950805098,69.16821306806585,69.16821306806585
2022Q1,5.801873103812162,41.4627687640153,32.37138899881282,60.08260783537792,47.264641867827464,92.45399683419075,323.6630179767607,690.8800896464871,4.141352348997936,6636.583390656587,368.6990772586993,0.23029336321549573,21.471342830761113,98.69054214483577,98.69054214483577,30.98451610176656,66.84209629202832,66.84209629202832
2022Q2,5.536643479213453,34.93243687352796,27.52749630278797,51.24445418195761,40.469080352741415,78.77195048474557,241.89562989196745,526.7473871440286,3.9473792126428924,5166.118335404313,287.0065741891285,0.17558246238134287,20.094265213342826,91.49435832831243,91.49435832831243,35.15353597129851,68.67106318257201,68.67106318257201
