Function Name,Frequency
__init__,22092
forward,10582
main,1785
__call__,1545
__len__,1453
__getitem__,1344
__repr__,960
init_weights,718
call,708
train,644
reset,504
backward,483
run,440
from_pretrained,430
step,424
update,404
parse_args,371
evaluate,347
__str__,347
__iter__,345
setUp,344
loss,307
_make_layer,286
test,283
add_args,280
build_model,241
build,239
reset_parameters,217
encode,216
BasicBlock,216
Bottleneck,210
transform,202
get_labels,196
validate,191
decode,188
get_dev_examples,188
save,181
sample,180
save_checkpoint,178
load,172
get_train_examples,172
_create_examples,168
_init_layers,168
conv3x3,159
ResNet,156
forward_single,148
predict,146
load_data,145
load_state_dict,144
max_positions,141
initialize,141
forward_train,138
get_targets,131
close,129
get_bboxes,128
extra_repr,127
get_output_embeddings,126
get_input_embeddings,126
size,125
name,124
accuracy,121
add,121
sample_parameters,121
AverageMeter,120
state_dict,118
get_lr,117
aug_test,116
get_config,115
fit,112
simple_test,112
load_dataset,107
get,107
setup,105
eval,105
__eq__,104
normalize,103
__setstate__,102
__exit__,94
process,93
adjust_learning_rate,93
prepare_config_and_inputs,93
__del__,92
__enter__,92
set_input_embeddings,91
config,89
collater,88
__getattr__,88
prepare_config_and_inputs_for_common,88
test_config,88
log,87
get_test_examples,87
supports_prefetch,86
_prune_heads,86
get_model,85
num_tokens,84
activation,84
train_step,84
load_model,83
render,83
prefetch,82
Model,82
conjugate,80
__getstate__,79
save_model,79
convert,78
get_example_from_tensor_dict,78
get_args,77
test_model_from_pretrained,76
_init_weights,74
download,72
_get_bboxes_single,72
assign,71
generate,70
score,70
ordered_indices,69
tokenize,69
weights_init,69
prune_heads,69
compute_loss,68
loss_single,68
is_image_file,68
print,67
to,66
save_vocabulary,66
load_checkpoint,65
forward_dummy,64
extract_feat,64
preprocess,62
build_backbone,62
_sample_pos,62
_sample_neg,62
Identity,61
wrapper,61
set_seed,60
get_transform,60
output,60
test_bijection_is_well_behaved,60
resize,59
setup_task,59
requires,59
crop,58
resnet18,58
on_epoch_end,58
write,57
plot,57
reward,57
vocab_size,57
get_params,56
resnet50,56
start,56
target_dictionary,56
load_annotations,56
tearDown,55
prepare_inputs_for_generation,55
reorder_encoder_out,54
inference,54
Discriminator,54
from_config,54
inverse,54
aggregate_logging_outputs,53
get_parser,53
_tokenize,53
Linear,52
upgrade_state_dict_named,52
pad,52
__hash__,52
create_model,52
conv1x1,52
MLP,51
get_loss,51
_get_target_single,51
parse,50
train_epoch,50
Generator,50
transpose_for_scores,50
set_epoch,50
_output_dim_multiplier,50
_elementwise_forward,50
_elementwise_inverse,50
reorder_incremental_state,49
get_data,49
get_dataset,49
get_input_output_texts,49
test_full_tokenizer,49
_train,49
extract_features,48
value,48
init_model,48
_check_input_dim,48
ExampleModule,48
collate_fn,47
resnet34,47
optimizer_config,47
zero_grad,47
_initialize_weights,47
to_tensor,47
display,47
_convert_id_to_token,47
get_logger,46
source_dictionary,46
read_data,45
ResBlock,45
train_model,45
resnet101,45
func,45
norm1,45
__ne__,45
_convert_token_to_id,45
convert_tokens_to_string,45
__next__,44
seed,44
to_dict,44
Logger,44
f,44
Trainer,44
show_result,44
get_tokenizer,44
build_inputs_with_special_tokens,44
InputFeatures,43
setUpClass,43
str2bool,43
print_args,43
initialize_network,43
base_architecture,42
training_step,42
get_optimizer,42
compute_metrics,42
gelu,42
serving_output,42
Flatten,41
get_image,41
Normalize,41
resnet152,41
test_for_token_classification,41
dummy_inputs,41
get_vocab,40
init_hidden,40
cuda,40
rotate,40
_run,40
compute,40
make_res_layer,40
avg,39
Dataset,39
collate,38
conv2d,38
__setitem__,38
apply,38
model,38
infer,38
_init_weight,38
make_world,38
reset_world,38
observation,38
test_for_masked_lm,38
test_for_multiple_choice,38
num_attention_heads,38
get_message,38
dataloader,38
merge,37
train_one_epoch,37
cli_main,37
prepare_for_onnx_export_,37
make_dataset,37
validation_step,37
get_special_tokens_mask,37
Embedding,36
info,36
convert_examples_to_features,36
_resize_token_embeddings,36
Scenario,36
dependencies,36
convert_tf_checkpoint_to_pytorch,36
_inner_forward,36
create_token_type_ids_from_sequences,36
convert_to_numpy,36
convert_from_numpy,36
make_generation_fast_,35
step_wait,35
Compose,35
Timer,35
test_for_question_answering,35
test_for_sequence_classification,35
hidden_size,35
build_from_config,35
load_and_cache_examples,34
Decoder,34
flatten,34
prepare_data,34
test_forward,34
_forward,34
connect,34
VGG,34
_module_name,34
get_name,34
init,33
mkdir,33
mean,33
clear,33
get_state,33
_evaluate,33
swish,33
step_update,33
Block,33
get_bboxes_single,33
check,33
benchmark_data,33
is_collision,33
sizes,32
preprocess_image,32
configure_optimizers,32
compute_output_shape,32
get_cat_ids,32
_bbox_forward_train,32
norm2,32
main_worker,32
optimize_parameters,32
log_prob,32
setup_DA_params,32
__setattr__,31
query,31
InputExample,31
stop,31
Config,31
get_batch,31
set_random_seed,31
iou,31
get_target,31
get_ann_info,31
get_anchors,31
_make_layers,31
ProgressMeter,31
_get_batch_fmtstr,31
area,31
_get_module,31
ModelArguments,30
build_encoder,30
flush,30
extract,30
ResidualBlock,30
build_optimizer,30
RandomCrop,30
draw,30
tie_weights,30
to_json_string,30
Encoder,30
num_classes,30
track,30
before_run,30
get_results,30
ConvBNReLU,30
shape,30
_LazyModule,30
_parse_ann_info,30
build_embedding,29
optimizer,29
build_dataset,29
prepare,29
PositionalEmbedding,29
assertAlmostEqual,29
flip,29
_filter_imgs,29
_mask_forward_train,29
_bbox_forward,29
