Word,Frequency
the,567072
of,305069
to,273869
a,187336
for,161466
in,136957
is,132685
and,131850
if,73390
tensor,71877
be,71813
with,71216
or,69486
list,67694
optional,64706
model,64262
this,64141
args,63909
from,62483
int,56320
torch,55632
shape,52843
x,49701
returns,48571
image,46380
that,45948
as,44523
not,43702
default,43585
each,43126
are,42252
dict,41941
n,41510
str,38940
by,38375
number,38069
input,37752
all,37414
on,37162
used,34273
it,34149
s,33770
self,33652
true,33306
c,33081
none,32818
defaults,32617
license,32110
an,31863
data,31839
use,31014
will,30568
class,30446
b,30125
float,28821
function,27834
return,27776
bool,27605
size,27517
output,26436
we,26107
t,25971
param,25600
tuple,25348
layer,25135
https,24971
file,24815
w,24507
h,23793
can,23230
batch,23042
when,22522
set,22033
attention,21912
config,21784
loss,21675
e,21634
dataset,21281
i,21223
whether,20429
at,20239
which,19612
type,19080
value,18805
only,18469
mask,18196
parameters,18000
you,17940
training,17818
false,17656
should,17625
np,17161
one,16848
see,16743
g,16333
path,16329
module,16200
name,16168
y,15683
k,15640
points,15506
d,15343
print,15140
values,15085
org,15034
m,14915
sequence,14718
under,14682
get,14676
given,14591
images,14179
f,14048
features,13833
ndarray,13813
models,13799
using,13717
boxes,13695
feature,13613
copyright,13561
test,13436
array,13429
object,13378
same,13073
token,12926
labels,12853
layers,12782
l,12738
any,12465
format,12463
method,12447
p,12441
r,12348
first,12231
has,12214
weights,12153
results,12079
text,11957
box,11730
nn,11693
sample,11686
where,11654
have,11648
tokens,11389
may,11325
obj,11207
time,11178
length,11168
com,11163
index,11013
into,10993
point,10947
compute,10850
z,10810
no,10606
string,10584
forward,10559
add,10539
scale,10524
numpy,10368
inputs,10281
channels,10189
v,10129
version,10074
encoder,10036
configuration,9972
head,9947
github,9919
more,9859
load,9718
dimension,9655
key,9611
pytorch,9581
example,9550
indices,9297
import,9294
matrix,9217
single,9201
note,9191
q,9127
arxiv,9062
j,9042
outputs,9007
its,8967
random,8906
information,8749
step,8700
level,8680
arguments,8658
distributed,8582
width,8559
code,8554
but,8539
floattensor,8508
device,8492
embedding,8411
math,8392
save,8302
instance,8291
original,8285
so,8280
target,8242
last,8153
after,8150
check,8088
py,8054
between,8032
different,8030
label,7977
dictionary,7936
position,7908
create,7858
embeddings,7803
based,7796
mean,7790
returned,7739
decoder,7734
directory,7707
source,7689
python,7664
o,7648
without,7639
dim,7631
then,7613
u,7587
height,7571
range,7535
map,7515
state,7513
convert,7499
two,7484
weight,7464
block,7463
containing,7377
ids,7288
classification,7277
mode,7249
current,7226
rights,7205
apache,7149
other,7128
per,7091
specific,7062
hidden,7061
padding,7058
base,7043
order,7040
new,7033
train,7029
up,6986
specified,6965
prediction,6944
must,6918
parameter,6909
reserved,6881
abs,6870
transformer,6837
keys,6806
samples,6789
need,6766
contains,6763
generate,6729
ground,6716
transformers,6704
tf,6692
do,6662
passed,6620
either,6606
scores,6598
tensors,6582
language,6576
predictions,6474
than,6464
make,6462
truth,6435
also,6432
end,6336
required,6332
provided,6314
result,6218
classes,6204
case,6158
masks,6148
id,6136
following,6092
files,6065
before,6050
copy,6027
generated,6019
corresponding,6000
apply,5919
bbox,5867
instead,5840
software,5800
evaluation,5799
states,5780
task,5721
initialize,5674
linear,5649
out,5639
update,5634
network,5622
log,5569
rate,5562
paper,5545
pipeline,5525
depth,5511
optimizer,5509
score,5477
predicted,5467
like,5461
tokenizer,5460
over,5450
coordinates,5435
process,5413
split,5405
steps,5405
here,5387
info,5343
some,5338
run,5331
center,5242
non,5240
pdf,5223
channel,5220
conv,5197
licensed,5196
normalization,5185
root,5088
segmentation,5064
calculate,5045
multi,5035
pre,5029
heads,5026
http,5020
maximum,5004
max,4980
dropout,4976
element,4931
bias,4923
vector,4892
len,4883
does,4873
otherwise,4865
multiple,4841
query,4834
axis,4831
bounding,4801
pass,4797
conditions,4774
masked,4763
names,4754
distribution,4747
there,4728
prompt,4715
build,4686
learning,4677
checkpoint,4670
transform,4663
average,4658
rotation,4653
during,4641
bboxes,4638
implementation,4631
environment,4601
defined,4538
start,4518
top,4489
factor,4479
details,4477
todo,4460
pretrained,4457
huggingface,4450
relative,4380
argument,4378
error,4367
call,4367
called,4357
line,4350
frame,4337
color,4331
memory,4323
sampling,4319
stride,4295
instances,4274
gt,4195
such,4185
standard,4173
examples,4170
second,4154
json,4128
obtain,4125
norm,4121
except,4114
these,4097
inc,4083
noise,4076
www,4072
they,4070
added,4063
initial,4062
sum,4053
inference,4042
right,4037
blob,4028
bs,4022
final,4004
loading,3989
activation,3986
backbone,3979
positive,3975
targets,3963
space,3962
action,3955
remove,3951
left,3948
found,3943
valid,3924
stage,3899
main,3895
epoch,3893
generation,3892
policy,3881
cross,3873
logits,3870
diffusion,3862
datasets,3851
kernel,3837
word,3835
window,3813
ratio,3789
dtype,3782
seed,3779
metrics,3762
clip,3753
options,3715
gpu,3713
objects,3692
both,3689
img,3680
implied,3674
filter,3668
callable,3662
support,3659
them,3649
every,3643
convolution,3625
prefix,3607
resnet,3595
ignored,3576
settings,3570
testing,3547
avoid,3545
style,3540
unless,3536
warranties,3532
detection,3529
your,3529
kind,3518
means,3515
express,3495
graph,3494
generator,3486
empty,3469
filename,3459
copied,3445
according,3443
blocks,3443
computing,3440
gradient,3439
user,3434
licenses,3431
zero,3427
applicable,3425
basis,3423
cfg,3422
distance,3421
kwargs,3419
threshold,3419
iou,3416
params,3392
computed,3360
writing,3349
just,3343
uses,3342
selected,3342
reference,3338
integer,3321
meta,3303
local,3301
total,3292
match,3289
trained,3288
special,3288
solver,3284
pil,3282
want,3277
regression,3277
negative,3261
problem,3248
logger,3247
read,3233
law,3222
how,3213
else,3209
env,3207
video,3207
available,3205
openmmlab,3204
patch,3203
probability,3197
next,3176
global,3173
facebook,3173
setting,3163
maps,3157
residual,3154
permissions,3138
was,3134
large,3134
dimensions,3123
elements,3121
context,3119
perform,3113
limitations,3107
compliance,3079
governing,3074
