Skipped LLM_code/arxiv_dataset/2023/Q4/Constrained_Models/scripts/parser.py: expected an indented block after 'with' statement on line 6 (<unknown>, line 6)
Skipped LLM_code/arxiv_dataset/2023/Q4/brain-mri-processing-pipeline/nnUNet/metrics/metrics.py: non-default argument follows default argument (<unknown>, line 167)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/Deprecated/calibrate_realsense_old.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 42)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/Deprecated/dummy_juggle_script.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 318)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/Deprecated/ground_truth_representation.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 163)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/Deprecated/jog_test01.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 123)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/Deprecated/obj_apriltag_pose_in_world_from_camera.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 34)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/Deprecated/system_state_live_plotter.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 319)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/Deprecated/wrench_cone_estimation_convex_hull.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 117)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/HAL/calibrate_realsense.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 69)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/PlottingandVisualization/qp_debug_plot_node.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 93)
Skipped LLM_code/arxiv_dataset/2023/Q1/great3-public/presubmission_script/presubmission.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 161)
Skipped LLM_code/arxiv_dataset/2023/Q1/DMF/fairseq/examples/adaptive_span/truncated_bptt_lm_task.py: invalid syntax (<unknown>, line 1)
