Function Name,Projects Count
__init__,555
forward,472
__len__,368
__getitem__,367
main,351
__call__,287
train,271
__repr__,196
update,191
evaluate,170
reset,164
__iter__,153
step,136
run,135
test,127
backward,127
__str__,124
init_weights,115
_make_layer,114
parse_args,111
load,110
decode,106
encode,106
Bottleneck,104
sample,102
reset_parameters,99
get,98
save_checkpoint,98
_init_weights,95
save,95
ResNet,95
__getattr__,91
predict,89
BasicBlock,88
AverageMeter,86
normalize,85
MLP,85
Attention,83
load_model,81
setup,79
__exit__,79
__enter__,79
load_data,78
build_model,74
extra_repr,74
generate,74
load_state_dict,73
accuracy,73
to,72
Transformer,71
LayerNorm,69
load_checkpoint,69
set_seed,66
preprocess,66
training_step,66
conv3x3,66
get_model,66
Block,65
process,65
tokenize,62
add,60
Encoder,60
eval,60
device,59
inference,59
configure_optimizers,59
get_loss,59
get_rank,58
write,58
get_lr,58
__setstate__,57
wrapper,57
close,57
Mlp,56
get_world_size,56
build_dataset,56
validation_step,56
transform,56
validate,56
save_model,55
Normalize,55
_forward,54
log,53
state_dict,52
build,52
Model,52
PatchEmbed,52
initialize,51
Trainer,50
train_step,50
parse,49
loss,49
ResBlock,49
FeedForward,49
get_logger,49
get_dataset,48
forward_features,47
download,47
Decoder,47
Logger,47
__post_init__,47
print,46
resize,45
flush,44
__next__,44
__setattr__,44
resnet50,44
get_params,44
attention,43
Upsample,43
Downsample,42
exists,42
from_pretrained,42
__del__,42
__setitem__,41
train_dataloader,41
conv1x1,41
Compose,41
_load_from_state_dict,41
avg,41
load_config,40
val_dataloader,40
is_main_process,40
get_data,40
collate_fn,40
value,40
test_step,39
convert,39
custom_forward,39
resnet18,39
pad,39
size,39
dtype,38
VisionTransformer,38
__contains__,38
set_epoch,38
prepare_inputs_for_generation,38
info,38
Config,37
train_epoch,37
default,37
register,37
__getstate__,37
__eq__,37
create_custom_forward,37
get_config,37
AttentionPool2d,36
Resize,36
scale,36
_reset_parameters,36
get_optimizer,35
init,35
resnet101,35
no_weight_decay,35
compute_loss,35
build_backbone,35
_freeze_stages,34
window_partition,34
postprocess,34
get_args,34
adjust_learning_rate,34
name,34
get_parser,34
resnet34,34
get_input_embeddings,34
ToTensor,34
fit,33
Generator,33
create_model,33
is_dist_avail_and_initialized,33
build_optimizer,33
window_reverse,32
compute_metrics,32
BaseModel,32
Identity,32
set_random_seed,32
set_input_embeddings,32
DropPath,32
RandomCrop,32
median,32
get_output_embeddings,32
clear,31
resnet152,31
copy,31
forward_train,31
worker_init_fn,31
zero_grad,31
TransformerDecoder,31
mkdir,30
load_dataset,30
make_dataset,30
get_pairs,30
str2bool,30
PositionalEncoding,30
transpose_for_scores,30
Discriminator,30
setUp,30
PatchMerging,29
train_one_epoch,29
encode_text,29
apply,29
init_distributed_mode,29
_get_clones,29
add_meter,29
get_classifier,29
max,29
normalization,29
linear,29
extract_features,29
setup_logger,29
norm,28
shape,28
clone,28
test_dataloader,28
bytes_to_unicode,28
train_model,28
bpe,28
to_dict,28
all_gather,28
TransformerDecoderLayer,28
translate,28
checkpoint,28
get_decoder,28
TransformerEncoder,28
TransformerEncoderLayer,28
set_output_embeddings,28
visualize,27
QuickGELU,27
count_parameters,27
setup_seed,27
Dataset,27
CrossAttention,27
rescale,27
rotate,27
MetricLogger,27
crop,27
prepare_data,27
_reorder_cache,27
score,26
to_tensor,26
Evaluator,26
ResidualAttentionBlock,26
merge,26
quantize,26
f,26
mean,26
setup_for_distributed,26
with_pos_embed,26
BaseDataset,26
cat,26
mode,26
global_avg,26
SmoothedValue,26
VGG,26
build_loss,26
build_dataloader,26
collate,26
