Function Name,Projects Count
__init__,548
forward,438
__len__,360
__getitem__,358
main,357
__call__,300
train,238
update,191
__repr__,167
reset,155
__iter__,151
evaluate,136
parse_args,129
load,127
step,126
__str__,119
run,119
backward,118
decode,115
encode,114
_init_weights,112
Attention,106
_make_layer,104
test,103
generate,99
load_model,97
reset_parameters,95
Bottleneck,95
save,93
init_weights,93
sample,89
__getattr__,88
predict,87
MLP,87
Block,83
save_checkpoint,82
normalize,81
get_model,77
BasicBlock,77
load_state_dict,75
AverageMeter,75
ResNet,74
preprocess,73
load_data,72
LayerNorm,72
get,72
extra_repr,71
Mlp,71
set_seed,70
wrapper,69
accuracy,69
device,68
__exit__,67
__enter__,67
process,66
Encoder,65
transform,63
state_dict,63
Transformer,63
tokenize,62
PatchEmbed,61
Decoder,61
setup,61
close,59
_forward,59
conv3x3,58
from_pretrained,57
build_model,56
inference,55
get_world_size,55
get_rank,54
forward_features,54
initialize,53
log,52
to,52
eval,52
write,51
dtype,51
encode_image,51
add,51
configure_optimizers,51
collate_fn,50
download,50
training_step,50
get_args,50
get_lr,49
Model,48
__del__,48
__setitem__,47
no_weight_decay,47
VisionTransformer,47
load_checkpoint,46
validate,46
attention,46
parse,46
validation_step,46
save_model,46
print,45
__setstate__,45
Logger,44
Upsample,44
fit,43
loss,43
flush,42
FeedForward,41
DropPath,41
Trainer,41
__setattr__,40
compute_loss,40
Normalize,40
prepare_inputs_for_generation,39
get_dataset,39
Downsample,39
conv1x1,39
default,39
value,38
get_input_embeddings,38
copy,38
ResBlock,38
Dataset,37
is_main_process,37
AttentionPool2d,37
info,36
set_epoch,36
set_input_embeddings,36
custom_forward,36
ResidualAttentionBlock,36
adjust_learning_rate,36
window_partition,36
resnet18,36
convert,36
RMSNorm,35
__post_init__,35
get_loss,35
resnet50,35
get_logger,35
init,34
QuickGELU,34
get_pairs,34
exists,33
build_dataset,33
train_one_epoch,33
avg,33
is_dist_avail_and_initialized,33
SimpleTokenizer,33
window_reverse,33
train_step,33
load_image,32
to_dict,32
median,32
create_custom_forward,32
__next__,32
load_config,32
encode_text,32
compute_metrics,32
CLIP,32
bytes_to_unicode,32
test_step,32
seed_everything,32
init_distributed_mode,31
build,31
_download,31
bpe,31
create_model,31
PatchMerging,31
prepare_data,30
get_config,30
BaseModel,30
max,30
set_random_seed,30
clear,30
basic_clean,30
whitespace_clean,30
stem,30
build_attention_mask,30
__contains__,29
name,29
str2bool,29
_load_from_state_dict,29
register,29
shape,29
set_output_embeddings,29
setup_for_distributed,29
apply,29
get_output_embeddings,29
load_json,29
load_dataset,29
__getstate__,29
restore,29
default_bpe,29
drop_path,29
get_optimizer,29
train_dataloader,29
get_params,29
Evaluator,29
postprocess,28
global_avg,28
SmoothedValue,28
setup_logger,28
MetricLogger,28
_set_gradient_checkpointing,28
ModelArguments,28
_reorder_cache,28
items,28
get_data,28
get_version,28
_transform,28
CrossAttention,28
get_mask,28
hook,28
resnet34,28
add_meter,27
Config,27
_convert_weights_to_fp16,27
log_every,27
synchronize_between_processes,27
transpose_for_scores,27
extract,27
merge,27
ModifiedResNet,27
filter,27
count_parameters,27
weights_init,27
resnet101,27
ResnetBlock,27
Resize,27
initialize_weights,26
get_decoder,26
config,26
__eq__,26
decorator,26
BaseDataset,26
resnet152,26
checkpoint,26
crop,26
save_pretrained,25
__new__,25
read_json,25
_reset_parameters,25
FocalLoss,25
convert_weights,25
save_on_master,25
val_dataloader,25
size,25
get_prompt,25
Compose,25
resize,25
rotate,25
rotate_half,24
get_classifier,24
mask,24
resize_pos_embed,24
flatten,24
ToTensor,24
cat,24
_get_clones,24
initialize_parameters,24
linear,24
start,24
SwinTransformer,24
setUp,24
get_2d_sincos_pos_embed,24
get_1d_sincos_pos_embed_from_grid,24
get_2d_sincos_pos_embed_from_grid,24
reset_classifier,23
apply_rotary_pos_emb,23
train_epoch,23
get_tokenizer,23
available_models,23
TransformerEncoder,23
TransformerEncoderLayer,23
_normalize,23
timestep_embedding,23
pad,23
Identity,23
_freeze_stages,23
WindowAttention,23
update_ema,23
__delitem__,22
scale,22
flops,22
CustomDataset,22
get_image,22
f,22
PositionalEncoding,22
trunc_normal_,22
norm_cdf,22
Flatten,22
q_sample,22
BasicLayer,22
mean,22
visualize,22
get_transform,22
worker_init_fn,22
freeze,22
clone,21
to_tensor,21
cleanup,21
load_pretrained,21
from_config,21
append,21
DataArguments,21
patch_device,21
patch_float,21
remove,21
SwinTransformerBlock,21
AttnBlock,21
plot,21
mkdir,21
_initialize_weights,20
show,20
interpolate,20
Timer,20
to_numpy,20
create_logger,20
ResidualBlock,20
pil_loader,20
no_weight_decay_keywords,20
_shape,20
rescale,20
format,20
zero_grad,20
all_gather,20
MultiHeadAttention,20
cuda,20
Linear,20
compute,20
betas_for_alpha_bar,20
zero_module,20
UNet,20
_decode,20
preprocess_image,20
create_optimizer,20
lr_lambda,20
RandomCrop,20
mode,20
keys,19
read,19
read_jsonl,19
set_decoder,19
configure,19
Tokenizer,19
MultiheadAttention,19
inverse_sigmoid,19
_no_grad_trunc_normal_,19
dice_loss,19
GaussianBlur,19
p_sample,19
get_dataloader,19
gaussian,19
create,19
extract_feat,19
Generator,19
get_timestep_embedding,19
Residual,19
SelfAttention,19
infer,19
get_parser,19
dump,19
split,19
train_model,19
get_scheduler,19
optimize,18
render,18
save_image,18
check,18
extract_features,18
setup_logging,18
_get_activation_fn,18
get_parameters,18
test_dataloader,18
normalization,18
TransformerBlock,18
p_sample_loop,18
p_mean_variance,18
ssim,18
Conv2d,18
repeat_kv,18
put,18
forward_train,18
dict,18
get_images,18
pop,18
store,18
mean_flat,18
kl,18
vgg16,18
get_activation,18
nll,18
set,18
center_crop,17
build_transform,17
LayerNorm2d,17
plot_curve,17
forward_single,17
process_image,17
interpolate_pos_embed,17
score,17
_cfg,17
aggregate,17
query,17
retrieve,17
__add__,17
softmax,17
write_json,17
assign,17
next,17
with_pos_embed,17
_convert_image_to_rgb,17
save_json,17
RandomErasing,17
Discriminator,17
ddim_sample,17
one_hot,17
evaluate_model,17
norm,17
CheckpointFunction,17
gather,17
encode_prompt,17
TrainingArguments,17
SeparatorStyle,17
Conversation,17
_forward_impl,17
loss_fn,17
normal_kl,17
nonlinearity,17
copy_to,17
denormalize,17
contrast,17
brightness,17
GEGLU,17
DiagonalGaussianDistribution,17
summarize,16
process_checkpoint,16
_ntuple,16
expand2square,16
_prepare_decoder_attention_mask,16
finalize,16
get_index,16
invert,16
TransformerDecoder,16
decompose,16
gelu,16
decoder,16
DecoderLayer,16
quantize,16
ImageDataset,16
DiceLoss,16
inverse_transform,16
sigmoid,16
MSE,16
get_local_rank,16
tearDown,16
build_dataloader,16
get_features,16
append_message,16
to_gradio_chatbot,16
LPIPS,16
get_state_dict,16
q_posterior,16
_tokenize,16
on_validation_epoch_end,16
on_train_batch_end,16
_inner_forward,16
cross_entropy,16
build_backbone,16
_resnet,16
get_targets,16
ConvBlock,16
translate,15
_get_data,15
report,15
PreNorm,15
build_optimizer,15
update_config,15
load_json_logs,15
_expand_mask,15
_prune_heads,15
load_pretrained_model,15
project,15
get_encoder,15
display,15
get_value,15
AlexNet,15
EarlyStopping,15
_run,15
make_inputs_require_grad,15
parse_arguments,15
ResNet18,15
TransformerDecoderLayer,15
Swish,15
validation_epoch_end,15
_extract_into_tensor,15
TimestepBlock,15
GaussianDiffusion,15
resnext50_32x4d,15
Classifier,15
from_dict,15
vocab_size,15
DWConv,15
make_divisible,15
_tokenize_fn,15
LayerScale,15
make_supervised_data_module,15
get_device,15
CenterCrop,15
center_crop_arr,15
set_requires_grad,15
LinearAttention,15
num_classes,15
Args,15
CrossEntropyLoss,15
count_params,15
get_last_layer,15
normalize_tensor,15
random_sample,14
create_window,14
embed,14
feed_forward_chunk,14
prune_heads,14
_load_weights,14
smart_tokenizer_and_embedding_resize,14
values,14
DataCollatorForSupervisedDataset,14
get_labels,14
get_info,14
post_process,14
_init_layers,14
PositionEmbeddingSine,14
_get_src_permutation_idx,14
ConvLayer,14
AttentionBlock,14
conv_nd,14
q_mean_variance,14
MAE,14
init_model,14
_encode,14
synchronize,14
barrier,14
_save_checkpoint,14
closure,14
check_inputs,14
shuffle,14
collate,14
SiLU,14
get_vocab,14
parse_requirements,14
build_loss,14
OverlapPatchEmbed,14
get_metrics,14
collect_env,14
get_root_logger,14
init_from_ckpt,14
AutoencoderKL,14
BasicTransformerBlock,14
InvertedResidual,14
save_config,14
identity,14
create_dataset,14
params,13
get_embeddings,13
get_name,13
Registry,13
load_from_pretrained,13
BertSelfAttention,13
get_extended_attention_mask,13
DataLoader,13
_load_data,13
_generate,13
inner,13
compute_accuracy,13
_process,13
read_file,13
reduce_dict,13
parse_version_info,13
reduce_loss,13
get_data_info,13
_get_tgt_permutation_idx,13
encoder,13
_norm,13
l1_loss,13
EncoderLayer,13
cpu,13
add_noise,13
message,13
kl_divergence,13
stop,13
avg_pool_nd,13
GroupNorm32,13
entropy,13
_ssim,13
VGG,13
get_network,13
SSIM,13
Embedding,13
swish,13
_make_stage,13
_load_checkpoint,13
all_reduce,13
model,13
aug_test,13
prepare_latents,13
prepare_extra_step_kwargs,13
profile,13
_get_train_sampler,13
_save,13
eval_model,13
LazySupervisedDataset,13
get_batch,13
reparameterize,13
RandomFlip,13
GCN,13
setup_seed,13
warn,13
error,13
psnr,13
_sample,13
cosine_scheduler,13
FFN,13
run_command,13
_make_stem_layer,13
load_annotations,13
RotaryEmbedding,13
prepare,13
readme,13
token_drop,13
spatial_average,13
NetLinLayer,13
ScalingLayer,13
update_learning_rate,12
NativeScalerWithGradNormCount,12
make_dataset,12
fix_init_weight,12
BertModel,12
get_attention_map,12
download_url,12
insert_separator,12
hidden_size,12
get_intermediate_layers,12
BertAttention,12
process_images,12
BertEncoder,12
encode_images,12
remove_punc,12
remove_articles,12
on_train_end,12
white_space_fix,12
lower,12
read_data,12
hook_fn,12
serialize,12
ResNet50,12
get_ann_info,12
print_results,12
eval_epoch,12
get_weights,12
_update,12
QKVAttention,12
scale_module,12
TimestepEmbedSequential,12
RMSE,12
StandardScaler,12
get_scores,12
init_,12
to_device,12
send,12
_split,12
_register,12
after_train_iter,12
Visualizer,12
preprocess_v1,12
preprocess_plain,12
rank0_print,12
find_all_linear_names,12
maybe_zero_3,12
get_peft_state_maybe_zero_3,12
resize_image,12
unwrap_model,12
download_model,12
_check_input_dim,12
mse_loss,12
repeat,12
get_score,12
build_inputs_with_special_tokens,12
convert_tokens_to_string,12
ViT,12
on_train_start,12
get_cosine_schedule_with_warmup,12
resnext101_32x8d,12
get_indices,12
_reset,12
build_neck,12
format_results,12
forward_test,12
instantiate_from_config,12
parse_line,12
color,12
unpatchify,12
sigmoid_focal_loss,12
requires_grad,12
get_bboxes,12
VQModel,12
md5_hash,12
get_ckpt_path,12
save_results,11
inverse,11
print_network,11
num_patches,11
list_models,11
concat_all_gather,11
BertIntermediate,11
BertOutput,11
get_w,11
disabled_train,11
BertLayer,11
forward_encoder,11
is_url,11
dummy_feature,11
_make_causal_mask,11
tokenizer_image_token,11
_n2p,11
LlamaRMSNorm,11
__deepcopy__,11
__delattr__,11
__hash__,11
execute,11
dotdict,11
fn,11
add_text,11
distance,11
forward_post,11
activate,11
weight_reduce_loss,11
AdamW,11
set_image,11
HungarianMatcher,11
TextEncoder,11
Predictor,11
l2_loss,11
PositionwiseFeedForward,11
PositionalEmbedding,11
on_train_epoch_end,11
_preprocess,11
convert_to_fp16,11
condition_mean,11
_predict_eps_from_xstart,11
ddim_sample_loop,11
get_beta_schedule,11
init_weight,11
iou,11
MAPE,11
