Function Name,Frequency
__init__,52154
forward,26695
__call__,5210
__len__,2535
main,2513
__getitem__,2396
call,2116
setUp,2004
__repr__,1406
setup,1057
get_input_embeddings,999
get_config,874
_init_weights,838
prepare_config_and_inputs,821
train,803
set_input_embeddings,782
prepare_config_and_inputs_for_common,737
parse_args,722
backward,685
__iter__,684
test_config,637
init_weights,615
update,608
reset,602
test_model_from_pretrained,540
get_output_embeddings,536
step,535
set_output_embeddings,521
evaluate,520
prepare_inputs_for_generation,507
from_config,497
run,483
from_pretrained,477
predict,476
test_model,464
transform,450
tearDown,448
create_and_check_model,448
decode,445
encode,431
extra_repr,421
__str__,419
custom_forward,394
build,393
create_custom_forward,390
test_inputs_embeds,390
sample,375
test,372
preprocess,370
reset_parameters,351
_prune_heads,342
get_decoder,328
loss,326
save_vocabulary,316
test_model_common_attributes,311
_reorder_cache,299
prune_heads,294
transpose_for_scores,292
__post_init__,290
save,282
load,280
load_model,278
tokenize,272
_make_layer,268
test_forward_signature,266
build_inputs_with_special_tokens,261
_set_gradient_checkpointing,260
setUpClass,259
process,259
get_encoder,256
generate,254
fit,246
vocab_size,240
_forward,240
Attention,238
prepare_img,238
test_hidden_states_output,236
device,232
load_state_dict,229
__getattr__,226
create_token_type_ids_from_sequences,225
to_dict,224
_shape,221
__setstate__,219
compute_metrics,214
get,211
_tokenize,210
normalize,205
get_vocab,204
_convert_id_to_token,204
_convert_token_to_id,202
convert_tokens_to_string,200
Bottleneck,199
collate_fn,199
ModelArguments,198
inference,198
train_step,196
test_retain_grad_hidden_states_attentions,192
get_model,187
to,187
close,185
training_step,185
resize,180
get_special_tokens_mask,177
test_attention_outputs,176
get_args,173
get_tokenizer,173
BasicBlock,170
save_checkpoint,168
forward_features,167
load_data,167
__next__,166
flops,166
test_training,165
__enter__,164
__exit__,164
build_model,164
get_sweep,162
PatchEmbed,159
__getstate__,158
tearDownClass,158
DataTrainingArguments,157
name,156
postprocess,156
check_hidden_states_output,155
Model,154
inputs,154
Mlp,153
test_initialization,151
Block,149
MLP,149
get_dataset,148
test_training_gradient_checkpointing,148
prepare_latents,146
initialize,146
add,145
test_forward,142
eval,142
configure_optimizers,141
LayerNorm,140
set_seed,139
_init_layers,137
with_pos_embed,136
no_weight_decay,135
Transformer,135
get_lr,135
state_dict,132
validation_step,132
encode_image,131
test_step,131
window_partition,130
feed_forward_chunk,129
test_repr,129
test_for_token_classification,129
_freeze_stages,128
inverse_transform,128
log,127
ResNet,126
_reset_parameters,126
test_for_question_answering,125
test_full_tokenizer,125
load_checkpoint,124
check_inputs,124
wrapper,124
get_transform,124
__eq__,123
attention,121
_prepare_for_class,121
_expand_mask,120
eq_func,120
test_for_masked_lm,118
convert,117
match,117
_make_causal_mask,116
conv3x3,114
pad,114
rename_key,114
get_input_output_texts,114
VisionTransformer,113
_encode_prompt,113
get_params,112
is_pipeline_test_to_skip,112
test_init,111
test_inference_no_head,111
Encoder,109
test_save_load_fast_init_from_base,109
default_image_processor,109
config,108
init,108
create_and_check_decoder_model_past_large_inputs,108
load_data_list,107
__read_data__,107
test_for_sequence_classification,105
write,104
copy,104
prepare_extra_step_kwargs,104
get_pairs,104
Upsample,103
create_and_check_for_token_classification,103
batch_decode,102
test_for_multiple_choice,102
log_images,101
create_and_check_for_question_answering,101
rescale,100
prepare_config_and_inputs_for_decoder,100
visualize,99
bpe,99
