Word,Frequency
the,1254839
of,634484
to,591903
a,372010
for,334308
in,278780
is,276096
and,264785
optional,185225
model,173374
or,170260
be,153876
if,152900
with,149231
this,139602
from,129507
tensor,119675
list,118127
int,116921
shape,112051
torch,108168
not,104456
args,98252
that,96139
image,95447
defaults,95228
license,95026
are,92407
as,91378
used,84211
input,82577
attention,82485
by,80354
on,80091
x,79965
true,79276
all,79216
each,78485
str,72003
returns,70755
self,70132
default,67481
will,66811
layer,66502
config,66143
an,64550
number,64513
use,63301
when,62929
it,62506
tuple,61146
output,61107
dict,59841
token,59469
can,59262
sequence,58207
s,56156
we,55907
n,55731
bool,55688
return,55117
size,54846
float,54532
mask,52681
class,51400
none,50935
loss,49938
tokens,49329
c,48887
you,47028
file,46895
at,46518
https,46307
see,45688
set,45400
under,45391
data,44381
whether,44173
batch,44162
param,42990
t,41641
function,41603
only,40686
b,40035
one,38812
configuration,38630
models,38419
which,38243
should,37680
values,37600
weights,35182
value,34459
obj,34390
layers,34314
false,34304
labels,33613
e,33479
dataset,33328
h,32187
w,32162
encoder,31814
type,31722
training,31686
floattensor,31640
using,31484
i,31301
transformers,31098
module,30016
indices,29728
length,29634
org,29442
parameters,29061
text,29018
inputs,28210
outputs,27933
any,27910
returned,27298
may,27243
ids,27223
key,26697
name,26658
print,26570
method,26358
tf,26210
embeddings,26197
decoder,26174
hidden,25556
first,25525
copyright,25306
more,25247
test,25128
has,25080
path,25059
get,25051
np,24536
states,24478
distributed,24258
tokenizer,24083
g,23934
classification,23655
have,23634
import,23581
padding,23495
images,23347
into,23009
format,22614
given,22560
language,22455
head,22424
passed,22121
add,22046
masked,21930
tensors,21917
same,21902
compute,21564
k,21522
base,21239
pytorch,21190
feature,21175
position,21138
time,21025
last,20970
f,20891
apache,20856
embedding,20760
nn,20687
string,20592
array,20478
com,20390
forward,20281
ndarray,20231
arguments,20225
y,20090
huggingface,20069
object,19833
dictionary,19799
load,19757
version,19728
where,19537
index,19380
d,18816
dimension,18785
no,18784
width,18547
python,18358
example,18223
github,18202
heads,18182
after,18079
without,18027
transformer,17543
specific,17538
features,17425
m,17384
single,17362
channels,17318
source,17211
height,17149
check,17119
numpy,17113
results,16969
required,16749
provided,16720
so,16576
attentions,16334
instead,16325
scale,16300
weight,16295
licensed,16184
copy,16019
its,15997
either,15950
specified,15753
original,15598
but,15582
code,15474
between,15027
state,15006
save,14924
information,14814
py,14797
end,14786
sample,14466
step,14388
based,14381
p,14361
boxes,14356
r,14317
id,14277
need,14263
generate,14209
different,14186
random,14166
new,14156
arxiv,14148
then,14110
cross,14030
rights,14006
special,13966
http,13941
create,13869
scores,13837
prompt,13836
note,13830
l,13767
reserved,13751
software,13664
mean,13660
convert,13632
copied,13484
before,13481
device,13479
dim,13438
logits,13413
two,13283
directory,13277
block,13269
make,13202
matrix,13117
target,13087
level,13067
initialize,13050
masks,12894
generated,12867
apply,12750
longtensor,12737
also,12610
linear,12543
than,12526
up,12451
label,12444
dropout,12370
selected,12364
containing,12315
v,12295
sequences,12292
current,12244
box,12207
case,12205
except,12157
pass,12157
keys,12094
z,11989
contains,11950
prediction,11935
generation,11887
per,11871
conditions,11832
bert,11716
instance,11647
www,11635
maximum,11617
abs,11591
other,11564
map,11514
like,11506
examples,11464
obtain,11445
inc,11421
checkpoint,11413
update,11391
must,11339
parameter,11339
following,11305
q,11261
argument,11191
samples,11175
do,11164
vocabulary,11121
mode,11064
computing,11024
top,10916
implied,10899
kind,10888
unless,10878
applicable,10815
express,10771
warranties,10769
range,10701
here,10692
process,10684
basis,10655
licenses,10635
task,10633
writing,10622
rate,10588
multiple,10559
log,10460
corresponding,10313
train,10302
law,10302
query,10214
points,10189
run,10174
compliance,10150
limitations,10150
permissions,10137
agreed,10115
governing,10107
out,10080
order,10075
during,10068
non,10041
average,10038
computed,10030
second,9996
over,9972
final,9839
paper,9731
channel,9713
j,9697
softmax,9650
split,9602
some,9531
root,9439
positions,9372
initializing,9369
normalization,9244
pretrained,9228
does,9224
what,9200
want,9124
bias,9124
blocks,9123
steps,9064
avoid,9062
files,9038
main,9009
score,8986
optimizer,8980
point,8956
memory,8943
cache,8907
pre,8882
details,8773
initial,8773
todo,8756
team,8646
start,8640
ratio,8596
word,8585
ignored,8557
found,8547
classes,8504
factor,8487
pad,8480
there,8444
just,8421
processor,8404
co,8389
question,8372
otherwise,8368
result,8354
facebook,8326
methods,8320
learning,8285
implementation,8278
objects,8236
decoding,8207
added,8201
max,8155
evaluation,8117
json,8114
paddle,8081
kwargs,8059
u,8053
utf,7993
activation,7965
filter,7961
norm,7951
loading,7887
blob,7871
segmentation,7834
bounding,7812
relative,7798
them,7778
such,7769
pipeline,7768
large,7762
build,7760
don,7754
vector,7734
remove,7708
predictions,7699
they,7675
pair,7634
element,7586
len,7584
network,7581
tree,7525
o,7494
sentence,7463
names,7455
standard,7443
these,7418
indicates,7416
axis,7411
defined,7401
multi,7396
depth,7363
dtype,7360
probability,7293
datasets,7283
sum,7278
initialization,7261
documentation,7256
clip,7183
modeling,7157
params,7135
your,7130
according,7107
calculate,7097
jax,7065
style,7057
glossary,7056
bs,7026
user,6985
their,6964
dataloader,6942
