Skipped LLM_code/arxiv_dataset/2025/Q1/FracTrain/fractrain_cifar/util_swa.py: invalid syntax (<unknown>, line 55)
Skipped LLM_code/arxiv_dataset/2025/Q1/mammoth/utils/main.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2025/Q1/RhythmFormer/dataset/data_loader/BaseLoader.py: unindent does not match any outer indentation level (<unknown>, line 590)
Skipped LLM_code/arxiv_dataset/2025/Q1/Shold-It-Be-Executed-Or-Processed/fine-tuning/prepare_dataset.py: invalid syntax (<unknown>, line 29)
Skipped LLM_code/arxiv_dataset/2025/Q1/CTFN-pytorch-master/train.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2025/Q1/In-Context-RCA/src/unet_trainer.py: f-string: unmatched '[' (<unknown>, line 165)
Skipped LLM_code/arxiv_dataset/2025/Q1/SLAM-under-Perturbation/benchmark/GO-SLAM/thirdparty/lietorch/eigen/scripts/relicense.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 55)
Skipped LLM_code/arxiv_dataset/2025/Q1/SLAM-under-Perturbation/benchmark/GO-SLAM/thirdparty/eigen/scripts/relicense.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 55)
Skipped LLM_code/arxiv_dataset/2025/Q1/SLAM-under-Perturbation/benchmark/ORB_SLAM3/evaluation/evaluate_ate_scale.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 177)
Skipped LLM_code/arxiv_dataset/2025/Q1/IGNITE/design_baselines/cli.py: invalid syntax. Perhaps you forgot a comma? (<unknown>, line 960)
Skipped LLM_code/arxiv_dataset/2025/Q1/PCSim/ReSimAD/src/sensor_generator.py: invalid syntax (<unknown>, line 240)
Skipped LLM_code/arxiv_dataset/2025/Q1/ShortcutsBench/experiments/WFActionsClass.py: unterminated string literal (detected at line 293) (<unknown>, line 293)
Skipped LLM_code/arxiv_dataset/2025/Q1/ShortcutsBench/experiments/all_experiments.py: unterminated string literal (detected at line 738) (<unknown>, line 738)
Skipped LLM_code/arxiv_dataset/2025/Q1/ShortcutsBench/experiments/APIsClass.py: unterminated string literal (detected at line 231) (<unknown>, line 231)
Skipped LLM_code/arxiv_dataset/2025/Q1/ShortcutsBench/experiments/generate_shortcut_desc.py: unterminated string literal (detected at line 304) (<unknown>, line 304)
Skipped LLM_code/arxiv_dataset/2025/Q1/ncflow/examples/navier-stokes/runs/04082024-130044-SpecialT2/main_T2.py: invalid syntax (<unknown>, line 8)
Skipped LLM_code/arxiv_dataset/2025/Q1/ncflow/examples/lotka-volterra/runs/Uncertainty/main_T2.py: invalid syntax (<unknown>, line 3)
Skipped LLM_code/arxiv_dataset/2025/Q1/202408-adaptive/src/plot.py: f-string: unmatched '[' (<unknown>, line 44)
Skipped LLM_code/arxiv_dataset/2025/Q1/nlft-qsp/nlft_qsp/numerics/backend.py: invalid syntax (<unknown>, line 9)
Skipped LLM_code/arxiv_dataset/2025/Q1/dropbp/huggingface/transformers_dropbp/templates/adding_a_new_example_script/{{cookiecutter.directory_name}}/run_{{cookiecutter.example_shortcut}}.py: invalid syntax (<unknown>, line 21)
Skipped LLM_code/arxiv_dataset/2025/Q1/dropbp/huggingface/transformers_dropbp/templates/adding_a_missing_tokenization_test/cookiecutter-template-{{cookiecutter.modelname}}/test_tokenization_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 20)
