Function Name,Frequency
__init__,24307
forward,10788
__call__,2043
main,1885
__len__,1463
__getitem__,1311
__repr__,1001
init_weights,872
train,669
call,635
__str__,535
reset,532
update,487
backward,475
from_pretrained,443
step,443
setUp,435
run,425
evaluate,403
__iter__,398
loss,366
parse_args,329
fit,307
test,279
_make_layer,277
build,246
reset_parameters,227
build_model,225
Bottleneck,223
BasicBlock,217
sample,217
transform,205
encode,205
validate,201
add_args,198
save,190
__eq__,190
from_config,188
_init_layers,183
load,181
accuracy,181
decode,180
save_checkpoint,178
extra_repr,174
predict,171
get_labels,160
forward_single,160
get,157
conv3x3,155
get_output_embeddings,154
get_dev_examples,153
forward_train,151
get_targets,150
AverageMeter,149
ResNet,149
setup,147
get_train_examples,146
get_input_embeddings,141
_create_examples,138
get_bboxes,138
_,135
initialize,129
get_lr,127
simple_test,127
__exit__,126
aug_test,126
__enter__,125
load_data,120
init,116
get_params,115
__getattr__,113
add,112
load_state_dict,110
size,108
log,102
plot,100
__hash__,100
close,99
_init_weights,99
set_input_embeddings,99
_prune_heads,99
process,97
adjust_learning_rate,95
_get_bboxes_single,95
inference,95
get_config,94
__setstate__,94
_sample_pos,93
_sample_neg,93
get_state,90
name,89
forward_dummy,89
get_model,87
prepare_config_and_inputs,87
assign,86
Hyperparams,86
get_data,85
get_transform,84
prepare_config_and_inputs_for_common,83
test_config,83
prune_heads,82
state_dict,81
__del__,81
tokenize,80
compute,80
test_produce,80
max_positions,80
norm1,79
score,78
set_seed,78
__getstate__,77
normalize,76
to,76
load_dataset,76
wrapper,75
get_test_examples,74
convert,74
test_model_from_pretrained,74
train_step,73
load_annotations,73
loss_single,73
f,72
ExampleModule,72
inverse,72
apply,71
build_backbone,71
save_vocabulary,71
Params,70
print,69
parse,69
vocab_size,69
eval,67
prepare_inputs_for_generation,67
load_model,67
extract_feat,67
collater,67
write,65
_tokenize,65
model,64
show_result,64
produce,64
losses,63
crop,63
test_basic,63
preprocess,62
tearDown,62
to_tensor,61
config,61
generate,61
load_checkpoint,61
download,61
_inner_forward,61
_convert_id_to_token,61
resize,60
clear,60
make_res_layer,60
num_tokens,60
test_bijection_is_well_behaved,60
get_dataset,59
_get_target_single,59
output,59
convert_tokens_to_string,59
get_message,59
supports_prefetch,58
_convert_token_to_id,58
set_params,57
norm2,57
prefetch,57
to_dict,56
get_example_from_tensor_dict,56
on_epoch_end,56
B,56
compute_loss,55
save_model,55
transform_fn,55
Identity,55
is_image_file,55
Model,54
get_loss,54
preprocess_image,54
pad,54
Trainer,53
info,53
build_inputs_with_special_tokens,53
str2bool,52
device,52
render,52
__setitem__,51
__ne__,51
visualize,51
_bbox_forward_train,51
can_produce_column,51
create_model,50
get_vocab,50
_get_columns_to_fit,50
_can_produce_column,50
_update_predictions_metadata,50
_wrap_predictions,50
compute_output_shape,50
ordered_indices,50
_train,50
_output_dim_multiplier,50
_elementwise_forward,50
_elementwise_inverse,50
Dataset,49
_initialize_weights,49
conv1x1,49
__next__,49
value,49
get_data_loader,49
MLP,48
__setattr__,47
_create_ov_model,47
get_ann_info,47
set_epoch,47
get_padding_lengths,47
from_params,47
_resize_token_embeddings,47
test_full_tokenizer,47
transpose_for_scores,46
Logger,46
Normalize,46
Flatten,46
freeze,46
start,46
test_prediction_labels,46
get_logger,46
get_tokenizer,46
get_input_output_texts,46
make_dataset,45
next,45
iou,45
_mask_forward_train,45
get_special_tokens_mask,45
extract,44
register,44
train_epoch,44
__add__,44
stop,44
_filter_imgs,44
load_state,43
func,43
Compose,43
_bbox_forward,43
Linear,43
resnet18,43
test_prediction_score,43
setup_task,43
create_token_type_ids_from_sequences,43
__mul__,42
get_args,42
resnet50,42
modify_commandline_options,42
after_step,42
dataloader,42
dummy_inputs,42
shape,41
flatten,41
save_file,41
collate_fn,41
display,41
Discriminator,41
augment,41
RandomCrop,40
expand,40
infer,40
area,40
ToTensor,40
_download,40
multi_stage_densenet,40
gelu,39
before_run,39
resnet34,39
read_image,39
_forward,39
from_dict,38
seed,38
prepare,38
zero_grad,38
get_parser,38
_add_target_columns_metadata,38
fit_transform,38
target_dictionary,38
submit_job,38
write_and_submit_job,38
backup_script,38
run_net,38
__new__,37
get_cat_ids,37
ResLayer,37
flip,37
merge,37
set_training_data,37
count_vocab_items,37
get_ground_truth,37
inference_single_image,37
num_attention_heads,37
target_point,36
get_argument_parser,36
Timer,36
ConvBNReLU,36
_parse_ann_info,36
crop_and_resize,36
apply_image,36
apply_coords,36
training_step,36
resnet101,36
check,36
hidden_size,36
aggregate_logging_outputs,36
show,35
fn,35
_make_stem_layer,35
_get_param_names,35
Encoder,35
optimizer,35
optimizer_config,35
data_type,35
format_results,34
get_anchors,34
extract_features,34
get_version,34
FCOSHead,34
_load_from_state_dict,34
get_image,34
Generator,34
log_prob,34
resnet152,34
_produce,34
read,34
prepare_data,33
Block,33
InputFeatures,33
logits,33
mask_propagation,33
from_state,33
main_worker,33
ProgressMeter,33
_get_batch_fmtstr,33
_freeze_stages,33
after_train_epoch,33
num_hidden_layers,33
Config,32
ResNet50,32
VGG,32
num_classes,32
Resize,32
forward_test,32
FCOS,32
rescale,32
_check_input_dim,32
test_for_masked_lm,32
log_likelihood,32
dense_loop,32
copytree,32
search_forward,32
basic_forward,32
make_model,31
init_model,31
set_random_seed,31
get_classes,31
__nice__,31
report,31
resume,31
initialize_network,31
cli_main,31
get_output_for,31
attack,31
avg,30
load_and_cache_examples,30
get_target,30
get_weights,30
get_bboxes_single,30
get_points,30
simple_test_mask,30
bbox_overlaps,30
rotate,30
index,30
genotype,30
train_model,29
ResBlock,29
convert_examples_to_features,29
to_json_string,29
statistics,29
wrap,29
__contains__,29
configure_optimizers,29
flops,29
build_optimizer,29
set,29
init_mask_head,29
