quarter,single_letter,lowercase,UPPERCASE,camelCase,snake_case,PascalCase,UPPER_SNAKE_CASE,endsWithDigits,Other,avg_name_length
2020Q1,0.08105321856501226,0.37507077697393987,0.005699333695558859,0.012782750436101036,0.42380680030932044,0.005393348394292222,0.010669450084361314,0.0454045011295621,0.04011982041235382,7.885012439611923
2020Q2,0.06830480695919205,0.38954559917400133,0.007369830282581974,0.013306037665619145,0.41898049480483573,0.005178572500615197,0.013127134975474977,0.03671707560139307,0.047470448037167705,8.011400543893918
2020Q3,0.07953492519912601,0.3518805709140239,0.004827581706738654,0.011732361219261564,0.45012223928478673,0.005531218869221172,0.010564345280303044,0.04153090565824886,0.04427585186861808,8.508898236881715
2020Q4,0.05275132544675609,0.3774848715307373,0.007747086200433656,0.012221037578279945,0.42344066692568794,0.004652254442111205,0.02902974022334014,0.03851255217183962,0.05416046548016975,9.062395155939491
2021Q1,0.0613270849675502,0.3554421229911739,0.004998016760590562,0.008953090368552427,0.45589034776955845,0.005772303839880907,0.013596278353033892,0.04402411314982971,0.04999664179909011,8.456298400855223
2021Q2,0.065402726027983,0.361103292320506,0.0053874118000659076,0.010025809960450372,0.4598192348617815,0.004141043562060801,0.012356339660988046,0.03774647080993498,0.044017670996952175,8.400468252779302
2021Q3,0.07066351177157401,0.35305395021948366,0.005530736262710449,0.012255909752509566,0.4435448677029157,0.004582249679002782,0.010845792730454067,0.04940202461524585,0.050120957265135865,8.224802671894649
2021Q4,0.08071380722968752,0.3670029543662154,0.005199589268142778,0.008468072499169723,0.439901909808582,0.0044309543328522084,0.009148659469736375,0.039416932099545186,0.045717120926731206,8.00044618903178
2022Q1,0.06638716426168524,0.35339600171458274,0.0044252568536862075,0.00811791819389703,0.4733932470610427,0.004014433437701431,0.011849762114245299,0.038118713719000774,0.04029750264481242,8.52083860219099
2022Q2,0.06673106352037757,0.3626402428198517,0.004690260997488722,0.007127336675769274,0.4656336396769247,0.004077293133914313,0.009693346973630388,0.03744388173524066,0.0419629344673831,8.29126541934045
2022Q3,0.0647976633203105,0.36157167995664186,0.004638940816154565,0.008834411749966409,0.4692667807028638,0.0036413699720774543,0.00847036930923613,0.03743869194349603,0.041340092230375575,8.380086783911661
2022Q4,0.05777136463169645,0.3417745280393635,0.004977714952160817,0.007343741455901718,0.49685822041247585,0.004306021329332887,0.012329617934466219,0.03199073503522605,0.042648056210054484,8.932171186361352
2023Q1,0.06629820094708343,0.3462640490369075,0.00402002543819355,0.004857713799085018,0.4937740862855256,0.0029802374377865654,0.011097906291671261,0.03081140808530775,0.0398963726776042,8.826582399916898
2023Q2,0.06683768791114712,0.34556026201459616,0.004601842138668624,0.003670414960153373,0.49241112697366296,0.0029290113866193264,0.012348419182726162,0.033889619649060204,0.03775161578472669,8.770169564934363
2023Q3,0.06867870843177405,0.34906587404408274,0.0050006351141934965,0.006570637400604967,0.47288367248370194,0.0030150140995350715,0.0076803089195445935,0.03552777989482868,0.05157736961107277,8.643503797998324
2023Q4,0.05956557302553584,0.33373726357463296,0.0036838438001755972,0.004277621254809256,0.5194300544306744,0.0026827700189510292,0.012111848283803205,0.024948751350639904,0.03956227426189238,9.18312514093135
2024Q1,0.06394515441818739,0.3548111757288342,0.0049030866038909165,0.012933518826991395,0.46956821687645817,0.003203901350460606,0.011383045281396517,0.03445095901452538,0.04480094189949275,8.926121079512543
2024Q2,0.05868762395902248,0.3388964295589224,0.004620785393152638,0.005389278711120727,0.5095868664133925,0.003165209921494479,0.01093646700812422,0.02780261442128143,0.04091472461269296,9.221961223035606
2024Q3,0.06516175991983689,0.33436977978724536,0.004716337772160092,0.004770354525456355,0.5031282452260301,0.0036933955066163347,0.010457643438111723,0.028844946260086303,0.044857537565267024,8.995822479363762
2024Q4,0.06264102433484194,0.3389108801116204,0.004089518427179616,0.006337667318912086,0.5073145370801725,0.0028781699573592295,0.009923768200193242,0.027126864218101326,0.040777570351107566,9.132203290764116
2025Q1,0.0568368879765978,0.33190932351498836,0.004429762669734897,0.003535235377125123,0.520888535546835,0.003069975323749887,0.014064192125404955,0.024849333021391792,0.040416754443279954,9.433638778260335
