Variable Name,Frequency
x,19738
positives,14489
negatives,14489
cross_product,14474
dataset_path,14415
model,9635
df,8347
instances,7424
fil,7253
positive,7251
negative,7243
out,7238
samples_list,7235
idendities,7233
id,5595
loss,5457
output,5051
outputs,4822
data,4434
args,3652
batch_size,3445
result,3382
net,3378
parser,3193
img,3069
inputs,3049
dataset,2868
mask,2850
y,2834
image,2647
labels,2590
brick_,2527
_base_,2466
config,2344
h,2271
results,2254
s,2225
logger,2200
logits,2180
label,2100
text,2085
optimizer,1964
scores,1912
device,1870
res,1792
name,1782
m,1741
__all__,1689
w,1602
i,1597
hidden_states,1586
p,1536
a,1492
features,1419
v,1416
tokens,1414
d,1408
images,1401
value,1389
n,1387
path,1372
num_classes,1371
t,1367
target,1355
idx,1340
input_ids,1308
k,1282
params,1250
c,1234
_EXTENSION_NAME,1196
f,1193
r,1191
line,1182
ret,1176
indices,1168
weight,1148
boxes,1133
batch,1119
weights,1119
start,1073
state,1069
filename,1042
tokenizer,1013
b,999
residual,984
index,977
ax,943
pred,926
bboxes,899
z,892
size,876
lines,870
end,846
X,835
l,831
losses,829
preds,828
predictions,823
score,818
scale,816
count,815
transform,811
shape,801
lr_config,791
width,790
x1,787
msg,766
attention_mask,732
img_norm_cfg,732
train_pipeline,725
q,707
key,706
cfg,702
offset,702
targets,700
x2,692
g,689
examples,678
lr,676
layers,673
test_pipeline,673
total_epochs,670
input,669
FLAGS,667
branch_1,647
N,642
env,630
gt_bboxes,628
head_mask,625
sample,624
values,622
metrics,618
length,614
_,611
input_mask,611
attn,610
alpha,605
token_type_ids,601
fig,600
config_and_inputs,596
pooled_output,593
loss_fct,591
input_shape,591
masks,590
height,578
checkpoint,567
bbox,561
string,559
tensor,557
val,555
y1,548
outs,548
files,548
y_pred,542
branch_2,542
anchors,541
bbox_pred,540
points,538
im,535
state_dict,535
prefix,533
A,530
j,526
probs,522
words,520
feat,520
mean,518
__slots__,516
temp,513
action,510
embeddings,509
start_time,504
optimizer_config,504
padding,500
position_ids,500
train_cfg,500
dist,492
vocab,492
rois,490
model_name,487
scheduler,487
sequence_output,480
source,479
tmp,475
total_loss,475
context,474
bias,474
gt_labels,473
diff,468
samples,466
obs,466
pos,462
segment_ids,461
global_step,449
sentence,449
block,447
dtype,443
imgs,442
in_channels,440
y2,439
word,439
ids,435
keep,431
R,420
opt,419
downsample,413
ind,412
num,411
pointer,409
u,409
proposals,409
stride,407
item,405
stats,404
trainer,403
token,403
node,396
inds,393
data_root,390
expected,389
kwargs,387
M,387
dim,383
classes,381
group,381
dataset_type,380
step,379
test_cfg,379
query,377
expansion,375
writer,372
ds,372
file_path,366
train_dataset,365
cls,364
done,364
std,363
raw_masks,362
content,360
text_a,359
acc,358
attn_mask,357
config_class,357
reward,356
e,354
sampler,352
module,351
criterion,349
pattern,348
layer,347
gt,347
paths,346
T,345
info,343
feats,343
cls_score,342
xs,341
grad,339
version,339
__version__,337
sample_size,337
assign_result,336
root,335
generator,335
sentences,332
decoder,332
reader,331
color,326
emb,325
evaluation,325
output_dir,323
train_loader,322
cache_dir,320
guid,319
log,318
self,318
attn_weights,317
noise,313
W,313
fontsize,312
file,311
file_name,311
theta,310
end_point,310
lengths,310
total,309
keys,309
B,308
url,307
slim,307
match,306
inputs_embeds,306
pos_inds,304
prob,302
beta,300
obj,300
branch_3,300
names,299
src,299
scale_factor,298
array,296
K,296
example,296
branch_0,295
bbox_results,295
test,294
norm,294
review,293
parts,292
C,290
text_b,290
correct,288
num_imgs,288
task,285
learning_rate,284
mu,284
src_tokens,284
extended_attention_mask,282
order,282
encoder,282
eps,281
conv,279
factor,278
embedding,277
dx,277
buffer,276
cmd,275
ys,275
options,274
actions,274
cat,273
delta,272
gt_bboxes_ignore,271
idxs,270
hidden,270
identity,270
pool,269
feature,267
max_len,267
counter,265
attack,265
mask_pred,263
attention_scores,261
feed_dict,261
all_hidden_states,261
bbox_targets,261
img_shape,260
var,259
H,259
blocks,259
D,258
loader,257
ious,257
bs,256
graph,255
prediction,254
L,254
mode,253
inp,253
S,253
attentions,251
ap,247
layer_keys,247
encoder_out,246
precision,245
grads,244
image_shape,244
sent,244
fn,243
iou,243
observation,242
colors,242
base_model_prefix,242
train_data,241
context_layer,241
data_loader,241
ntokens,240
shortcut,239
pad,237
loss_cls,236
attention_output,235
recall,234
fields,234
flags,234
Y,234
base,234
epoch,233
t1,233
seq_length,233
test_loader,232
output_shape,232
train,231
save_path,231
cell,231
fname,231
policy,230
return_dict,230
gt_boxes,230
vocab_size,229
base_path,227
save_dir,227
header,226
data_path,226
left,224
t_total,224
tgt,224
distance,224
coords,223
positions,223
gt_masks,223
center,222
input_size,221
featmap_sizes,221
response,220
img_id,220
fp,219
pairs,219
log_config,219
image_height,218
image_width,218
keypoints,217
accuracy,216
gamma,216
saver,216
step_size,214
loc,214
valid,214
f1,213
logging_output,213
fileList,213
checkpoint_config,212
sigma,211
ratio,210
seed,210
input_buffer,210
attention_probs,209
train_op,209
sequence_length,209
depth,209
cnt,208
checkpoints,208
runner,208
tensor_dict,207
img_path,206
num_channels,206
frame,206
x0,206
arr,205
edges,204
model_path,204
G,204
new_key,203
angle,203
tp,202
defaults,202
kernel,202
input_tensor,202
suffix,202
load_from,202
o,201
metadata,201
sizes,201
kernel_size,201
label_weights,201
seq,200
prediction_scores,200
bricks_,200
tree,199
input_data,199
split,198
channels,198
rng,198
test_dataset,197
overlaps,196
norm_cfg,195
bsz,194
mlvl_scores,194
t2,193
dataloader,193
P,192
best_score,192
encoder_padding_mask,192
detector_backend,192
__revision__,192
history,191
annotations,191
dt,191
log_level,191
sequence_labels,191
question,190
encoded,190
dataset_name,189
items,189
list_brick_,189
steps,188
dist_params,188
session,187
sess,187
threshold,187
loss_bbox,187
bitmap_masks,187
output_tensor,186
norm_layer,186
batches,185
cov,185
title,184
ckpt,184
train_sampler,184
box,184
__metaclass__,184
transformer_outputs,184
proposal_list,184
states,183
eval_loss,183
end_points,183
distance_metric,183
sequence,182
layer_output,182
work_dir,182
__author__,182
prev_output_tokens,181
pos_emb,180
lprobs,180
configs,180
headers,179
row,179
head,179
level,179
resume_from,179
data_dir,178
table,178
rank,178
window,178
all_attentions,178
workflow,178
union,177
method,177
token_labels,177
ch,175
ref,175
out_channels,175
output_size,175
image_id,175
end_logits,174
marker,174
repr_str,174
progress,173
prev,173
model_to_save,173
itr,173
status,172
meta,172
train_dataloader,172
label_ids,172
img_metas,172
found,171
nodes,171
hypos,171
cls_feat,171
area,170
mask_results,170
processor,169
test_data,168
dy,168
grid,168
optimizer_grouped_parameters,168
buf,168
num_images,167
instance,167
no_decay,167
right,167
image_size,166
xmax,166
_fields_,166
summary,165
op,165
input_dim,165
adj,165
output_attentions,165
models,164
num_boxes,164
core_out,164
answer,163
checkpoint_path,163
corpus,163
dirname,162
flag,162
parameters,162
radius,161
encoder_outputs,161
xmin,161
label_list,161
log_probs,161
ymax,161
num_pos,160
output_tokens,159
mod,159
output_hidden_states,159
__docformat__,159
x3,158
x_out,158
resp_obj58,158
message,157
ymin,156
func,156
resp_obj57,156
epsilon,155
chars,155
strides,155
sep,155
resp_obj56,155
polygon_masks,154
denom,153
err,153
declaration_full,153
logabsdet,153
resp_obj55,153
vocab_file,152
classname,152
scope,152
global_pool,152
start_idx,151
trans,151
error,151
gradient,151
lr_scheduler,150
cols,150
resp_obj53,150
resp_obj54,150
phi,149
act,149
start_position,149
saved_state,149
linewidth,149
resp_obj52,149
num_samples,148
reg_feat,148
offsets,148
other,148
adv,148
resp_obj51,148
datasets,147
num_points,147
eval_dataset,147
eval_sampler,147
neg_inds,147
evaluator,146
eval_results,146
rewards,146
choice_labels,146
sampling_result,146
candidates,145
dictionary,145
vehicles,145
resp_obj49,145
resp_obj50,145
depth_multiplier,144
U,144
eval_dataloader,144
xlab,144
resp_obj48,144
log_prob,143
goal,143
num_embeddings,143
doc,143
X_train,143
dists,142
st,142
backbone,142
areas,142
nsentences,142
top,142
best_acc,142
h2,141
test_layer,141
num_labels,141
cur,141
raw,141
pretrained_model_archive_map,141
resp_obj47,141
use_cuda,140
start_logits,140
t0,140
assigned_labels,140
rows,139
sp,139
reduction,139
max_length,138
loss_sum,138
hidden_size,138
attn_prob,138
biases,138
lower,138
weight_expanded,138
flip,138
end_time,138
resp_obj46,138
epochs,137
h1,137
new_val,137
num_levels,137
resp_obj45,137
spec,136
mse,136
past,136
resp_obj43,136
resp_obj44,136
image_path,135
new_x_shape,135
start_positions,135
success,135
means,135
x_,135
start_epoch,135
resp_obj42,135
y_true,134
splits,134
decoder_out,134
use_bias,134
pretrained_vocab_files_map,134
max_model_input_sizes,134
p1,133
tokens_a,133
Q,132
tok_text,132
config_file,132
model_dict,132
val_loader,131
groups,131
axis,131
filenames,131
frames,131
rle,131
vocab_files_names,131
mask_feats,131
segm_result,131
conf,130
label_map,130
transformation,130
hparams,130
expected_shape,130
up,130
grad_norm,130
resp_obj40,130
resp_obj41,130
tag,129
DESCRIPTOR,129
bleu,129
s1,129
code,129
lm_logits,129
advs,129
resp_obj38,129
resp_obj39,129
elapsed,128
train_loss,128
end_position,128
modules,128
x_unfold,128
state_list,128
first,127
target_tensor,127
upper,127
counts,126
hs,126
constraints,126
anns,126
padding_idx,126
embed,126
image_numpy,126
out_label_ids,126
pad_to_multiple,126
resp_obj37,126
iterator,125
cp,125
seq_len,125
dims,125
src_lengths,125
local_path,125
etag,125
inputs_dict,125
resp_obj36,125
skip,124
end_idx,124
categories,124
type,124
current,124
position,124
embedding_output,123
world_size,123
tasks,123
mask_rois,123
resp_obj35,123
last,122
p2,122
grad_input,122
aux_logits,122
filepath,122
nlp,122
tic,122
all_model_classes,122
legends,122
bbox_weights,122
mlvl_bboxes,122
ws,121
seg,121
classifier,121
attn_score,121
masked_lm_loss,121
src_dataset,121
resp_obj29,121
resp_obj30,121
resp_obj31,121
resp_obj32,121
resp_obj33,121
resp_obj34,121
param,120
n_gpu,120
resp_obj28,120
vals,119
folder,119
task_name,119
mems,119
maxlen,119
s3_client,119
model_dir,118
hyp,118
num_layers,118
y_train,118
network,118
tokens_b,118
num_workers,118
tgt_dict,118
resp_obj25,118
resp_obj26,118
resp_obj27,118
entry,117
model_type,117
end_positions,117
answers,117
desc,117
x4,117
cs,117
tags,117
layer_outputs,117
initializer,117
memory,117
dw,117
gt_instances,117
attention,117
hidden_dim,117
resp_obj24,117
description,116
filters,116
all_input_ids,116
position_embeddings,116
logit,116
lb,116
bounds,116
resp_obj23,116
all_labels,115
recalls,115
end_index,115
strategy,115
eval_inputs,115
resp_obj21,115
resp_obj22,115
AWS_S3_INPUT_BUCKET,115
AWS_S3_OUTPUT_BUCKET,115
AWS_ACCESS_KEY_ID,115
AWS_SECRET_ACCESS_KEY,115
S3_ENDPOINT,115
EXPERIMENT_ID,115
out_dir,114
matrix,114
widths,114
is_training,114
logs,114
best,114
sz,114
tensors,114
src_dict,114
resp_obj19,114
resp_obj20,114
pieces,113
y0,113
weight_decay,113
dst,113
im_info,113
resp_obj11,113
resp_obj12,113
resp_obj13,113
resp_obj14,113
resp_obj15,113
resp_obj16,113
resp_obj17,113
resp_obj18,113
base_model,112
start_index,112
tmp_dir,112
cache_path,112
wh,112
goal_function,112
logdet,112
resp_obj8,112
resp_obj9,112
resp_obj10,112
metric,111
shuffle,111
extra,111
w1,111
num_gts,111
