indentation_consistency,avg_function_length,avg_nesting_depth,comment_ratio,Year
0.5723470561721127,15.863412127613236,1.5909380512310844,0.20878509369366902,2024
0.5849352562144733,16.380918412186265,1.5355038605507687,0.19964796986044892,2023
0.5822733219444982,17.44372899747388,1.4792298788107308,0.2094402288302186,2025
0.5836806522888924,16.14648599743173,1.5425264099976426,0.1911560894569552,2022
0.5935420420510586,15.68668394549982,1.5162766725329389,0.1861882233557815,2021
0.6731667409350179,8.530495336707803,1.2314791707522903,0.08854751372558138,Unkn
0.583055627223544,15.878294121435896,1.52203658033301,0.195525807988118,2020
0.6069086454518522,15.378835517060308,1.381566293833955,0.20694242418078518,2019
0.5981753181429486,18.884779302881405,1.3990961598668696,0.3169080907344365,2018
0.6605626414346195,14.514446676707289,1.2255883342399554,0.39694115494398824,2017
0.7921245421245421,3.4285714285714284,0.6825396825396826,0.2788515406162465,2015
0.8790248110616997,11.523896103896105,0.5014347425088967,0.08692754427661548,2016
0.47174113119143246,10.395833333333332,1.7593508343508344,0.08678266178266178,2014
