Function Name,Frequency
__init__,58645
forward,29778
__call__,5914
call,2708
main,2423
__len__,2178
__getitem__,2115
__repr__,1611
setup,1481
train,1009
get_input_embeddings,994
init_weights,934
_init_weights,902
update,834
parse_args,828
backward,813
setUp,796
set_input_embeddings,780
step,773
reset,738
serving_output,689
run,635
get_output_embeddings,622
custom_forward,605
__iter__,603
create_custom_forward,598
set_output_embeddings,595
evaluate,561
prepare_inputs_for_generation,557
decode,522
load,521
encode,511
__str__,488
loss,488
build,485
predict,474
from_pretrained,472
test,468
from_config,446
_set_gradient_checkpointing,436
reset_parameters,418
_prune_heads,406
save_vocabulary,401
sample,384
extra_repr,374
initialize,373
transpose_for_scores,355
prune_heads,354
preprocess,353
build_inputs_with_special_tokens,339
forward_train,330
_make_layer,322
_reorder_cache,322
get_decoder,322
save,318
generate,304
create_token_type_ids_from_sequences,292
_init_layers,273
get_encoder,271
vocab_size,269
_tokenize,264
dummy_inputs,263
_convert_id_to_token,260
__getattr__,257
_convert_token_to_id,256
convert_tokens_to_string,256
simple_test,256
get_vocab,253
Bottleneck,251
__setstate__,251
get,250
test_check_output,248
load_state_dict,247
normalize,242
Attention,237
tokenize,237
fit,231
_forward,230
postprocess,229
__exit__,228
get_targets,228
get_special_tokens_mask,227
__enter__,223
__post_init__,223
forward_features,217
_shape,217
BasicBlock,216
to_dict,216
serving,215
inputs,212
forward_single,210
__getstate__,208
Block,199
aug_test,199
build_model,198
transform,196
compute,196
wrapper,195
get_bboxes,195
process,189
flops,187
inference,185
device,184
close,181
load_model,181
get_config,181
state_dict,179
collater,179
add,177
_expand_mask,176
get_model,174
train_step,171
validation_step,168
resize,162
init,161
Mlp,158
save_checkpoint,157
apply,153
expected,153
convert,152
Config,151
check_device,150
rename_key,149
ResNet,148
forward_dummy,148
feed_forward_chunk,147
_impl,147
MLP,146
init_test_case,146
no_weight_decay,144
test_step,144
PatchEmbed,141
load_data,140
get_classifier,139
conv3x3,138
before,137
config,135
validate,134
to,134
_inner_forward,134
reset_classifier,133
init_parameters,133
name,131
__del__,130
exists,129
configure_optimizers,128
shift_tokens_right,128
compute_metrics,127
log,127
prepare_img,127
freeze_feature_encoder,127
get_lr,126
__eq__,126
get_args,125
eval,125
training_step,125
doc_to_text,125
LayerNorm,124
get_loss,124
_make_causal_mask,124
load_checkpoint,123
Transformer,123
size,123
Model,123
rescale,122
loss_single,122
f,120
Encoder,120
get_params,120
render,119
get_validator,119
__next__,118
score,118
prepare_data,117
extract_feat,117
add_args,116
ModelArguments,114
get_observation,114
is_program_valid,114
_get_bboxes_single,114
assign,113
verify,113
_cfg,112
pad,112
AverageMeter,111
compute_loss,111
_get_target_single,110
with_pos_embed,109
Trainer,109
_split_heads,107
window_partition,107
write,106
accuracy,106
_merge_heads,106
tearDown,105
calculate_loss,104
collate_fn,103
default,103
get_lm_head,103
get_pairs,103
sample_program,103
has_training_docs,103
synchronize_between_processes,102
init_weight,102
analyse_types,102
process_results,102
doc_to_target,102
register,101
save_model,101
_get_uuid,101
has_validation_docs,101
has_test_docs,101
execute,100
download,100
symbolic,99
_prepare_decoder_attention_mask,99
shape,99
drop_path,99
set_seed,97
parse,97
window_reverse,97
bpe,97
get_bias,97
_reset_parameters,96
print,96
copy,96
get_name,96
_decoder_forward,96
optimize,95
load_annotations,95
_freeze_stages,95
freeze_feature_extractor,95
resize_token_embeddings,94
load_dataset,93
norm1,93
set_epoch,93
set_bias,93
FeedForward,92
__setitem__,92
batch_decode,92
validation_docs,92
higher_is_better,92
_load_from_state_dict,91
create_position_ids_from_input_ids,91
quantize,91
Decoder,90
extract,90
act,90
configure,89
set_grad_checkpointing,89
construct_requests,89
prepare_decoder_input_ids_from_labels,87
p_sample,87
aggregation,87
get_rank,86
run_model,86
check,86
get_ann_info,86
get_world_size,85
check_inputs,85
save_pretrained,83
onnx_export,83
training_docs,83
wrap,82
forward_test,82
Normalize,82
train_epoch,82
get_dataset,82
build_optimizer,82
prepare_latents,82
annotate,81
before_run,81
_batch_encode_plus,81
value,80
func,80
on_train_end,80
Upsample,79
build_ir_program,79
attack,79
generate_result_code,79
__contains__,78
dtype,78
get_input,78
atol_for_validation,78
get_parser,77
mean,77
q_sample,77
circuit,77
generate_dummy_inputs,76
loss_fn,76
_get_decoder_module,76
_encode_plus,76
build_tts_model,76
log_images,76
VisionTransformer,75
format_results,75
_callback,75
set_decoder,74
PatchMerging,74
set_data,74
__setattr__,73
clear,73
crop,73
set_attr,73
merge,73
test_check_grad,73
_sanitize_parameters,73
_get_encoder_module,73
init_cache,73
_initialize_weights,72
max_positions,72
get_prefix_bias_name,72
_get_feat_extract_output_lengths,72
conv1x1,71
remove_weight_norm,71
is_main_process,71
avg,71
max,71
extract_features,71
update_inputs_for_generation,71
full_sort_predict,71
